Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Junior Adamu,at AUT,FW,Freiburg,23-339,2001,16.4,5,1,0,36,22,12,5,12,3,0,0,0,52,52,106,32.9,Matches
2,Karim Adeyemi,de GER,"FW,MF",Dortmund,23-113,2002,14.3,3,0,0,24,17,4,24,6,14,0,0,0,47,8,12,40.0,Matches
3,Amine Adli,ma MAR,"MF,FW",Leverkusen,25-001,2000,7.4,3,0,0,12,9,7,33,0,8,2,0,0,28,19,22,46.3,Matches
4,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,27-088,1998,16.9,3,0,0,19,40,9,49,8,8,1,0,0,68,18,44,29.0,Matches
5,Felix Agu,de GER,DF,Werder Bremen,25-226,1999,18.7,1,0,0,11,41,4,47,18,13,0,0,1,62,20,29,40.8,Matches
6,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,23-209,2001,0.5,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0.0,Matches
7,Kevin Akpoguma,ng NGA,DF,Hoffenheim,30-022,1995,23.7,3,0,0,24,23,1,12,26,25,0,4,0,101,48,47,50.5,Matches
8,Andreas Albers,dk DEN,FW,St. Pauli,35-049,1990,0.7,0,0,0,3,2,0,0,0,1,0,0,0,3,10,12,45.5,Matches
9,Ben Alexander Voll,de GER,"GK,MF",St. Pauli,24-153,2000,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
10,Skelly Alvero,fr FRA,MF,Werder Bremen,23-007,2002,2.6,1,0,0,7,5,0,0,2,6,0,0,0,13,5,3,62.5,Matches
11,Aurele Amenda,ch SUI,DF,Eint Frankfurt,21-284,2003,1.0,1,0,0,3,1,0,0,1,0,0,0,0,2,6,2,75.0,Matches
12,Nadiem Amiri,de GER,MF,Mainz 05,28-196,1996,26.5,9,2,1,44,51,2,158,16,21,0,0,0,200,16,17,48.5,Matches
13,Mohamed Amoura,dz ALG,FW,Wolfsburg,25-002,2000,26.4,6,0,0,30,20,24,32,9,20,1,0,0,87,19,44,30.2,Matches
14,Robert Andrich,de GER,"MF,DF",Leverkusen,30-231,1994,16.5,7,0,0,29,17,0,9,26,11,0,1,0,70,19,12,61.3,Matches
15,Waldemar Anton,de GER,DF,Dortmund,28-295,1996,19.7,4,0,0,19,20,1,24,28,21,0,0,1,109,44,26,62.9,Matches
16,Maximilian Arnold,de GER,MF,Wolfsburg,30-349,1994,25.2,7,1,0,28,50,0,144,24,20,0,0,0,149,13,23,36.1,Matches
17,Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,25-125,2000,7.9,8,1,1,20,18,2,24,3,10,0,0,0,21,2,13,13.3,Matches
18,Arthur,br BRA,DF,Leverkusen,22-055,2003,7.5,0,0,0,17,6,0,15,9,11,0,0,0,28,9,10,47.4,Matches
