Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Junior Adamu,at AUT,FW,Freiburg,23-339,2001,16.4,190,303,62.7,2227,284,120,175,68.6,45,67,67.2,1,5,20.0,2,2.4,1.9,-0.4,17,5,8,0,14,Matches
2,Karim Adeyemi,de GER,"FW,MF",Dortmund,23-113,2002,14.3,275,370,74.3,4059,834,153,187,81.8,91,112,81.3,15,22,68.2,5,5.5,3.6,-0.5,26,10,18,1,27,Matches
3,Amine Adli,ma MAR,"MF,FW",Leverkusen,25-001,2000,7.4,243,326,74.5,3125,688,154,181,85.1,68,95,71.6,6,18,33.3,0,0.3,1.5,-0.3,8,8,13,4,22,Matches
4,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,27-088,1998,16.9,301,433,69.5,5264,1233,135,172,78.5,124,156,79.5,34,52,65.4,1,3.7,3.3,-2.7,20,21,13,9,30,Matches
5,Felix Agu,de GER,DF,Werder Bremen,25-226,1999,18.7,622,778,79.9,9802,3269,321,361,88.9,230,280,82.1,46,74,62.2,0,1.7,2.3,-1.7,19,32,22,12,41,Matches
6,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,23-209,2001,0.5,10,13,76.9,125,21,7,7,100.0,2,4,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
7,Kevin Akpoguma,ng NGA,DF,Hoffenheim,30-022,1995,23.7,1159,1332,87.0,20690,7474,461,490,94.1,582,637,91.4,86,156,55.1,0,0.3,0.6,-0.3,7,98,10,0,94,Matches
8,Andreas Albers,dk DEN,FW,St. Pauli,35-049,1990,0.7,15,29,51.7,233,47,10,18,55.6,4,6,66.7,1,2,50.0,0,0.1,0.1,-0.1,2,1,0,0,3,Matches
9,Ben Alexander Voll,de GER,"GK,MF",St. Pauli,24-153,2000,0.0,0,1,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
10,Skelly Alvero,fr FRA,MF,Werder Bremen,23-007,2002,2.6,68,91,74.7,1077,220,34,41,82.9,30,38,78.9,3,5,60.0,0,0.0,0.1,0.0,0,3,3,0,8,Matches
11,Aurele Amenda,ch SUI,DF,Eint Frankfurt,21-284,2003,1.0,58,66,87.9,1079,398,24,26,92.3,26,28,92.9,7,9,77.8,0,0.3,0.3,-0.3,1,2,0,0,2,Matches
12,Nadiem Amiri,de GER,MF,Mainz 05,28-196,1996,26.5,1323,1714,77.2,24176,9298,593,665,89.2,526,617,85.3,171,337,50.7,4,6.2,8.8,-2.2,60,171,52,9,197,Matches
13,Mohamed Amoura,dz ALG,FW,Wolfsburg,25-002,2000,26.4,507,718,70.6,7833,1497,273,368,74.2,159,196,81.1,44,61,72.1,8,3.6,3.4,+4.4,32,28,23,4,58,Matches
14,Robert Andrich,de GER,"MF,DF",Leverkusen,30-231,1994,16.5,810,910,89.0,13029,3152,421,454,92.7,311,344,90.4,53,75,70.7,2,0.3,0.9,+1.7,9,63,8,0,63,Matches
15,Waldemar Anton,de GER,DF,Dortmund,28-295,1996,19.7,1546,1716,90.1,28340,8894,599,628,95.4,825,884,93.3,113,167,67.7,2,0.8,1.2,+1.2,6,110,6,3,109,Matches
16,Maximilian Arnold,de GER,MF,Wolfsburg,30-349,1994,25.2,1017,1315,77.3,20638,6827,353,394,89.6,477,549,86.9,167,321,52.0,5,3.2,4.1,+1.8,42,130,18,8,127,Matches
17,Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,25-125,2000,7.9,102,174,58.6,2045,760,43,64,67.2,36,54,66.7,21,41,51.2,0,1.0,1.7,-1.0,11,7,12,3,21,Matches
18,Arthur,br BRA,DF,Leverkusen,22-055,2003,7.5,276,349,79.1,4141,1149,166,176,94.3,92,124,74.2,11,24,45.8,1,0.4,1.0,+0.6,2,20,7,1,23,Matches
19,Noah Atubolu,de GER,GK,Freiburg,22-351,2002,24.6,824,1104,74.6,23127,16728,132,133,99.2,439,446,98.4,252,521,48.4,0,0.0,0.1,0.0,0,25,1,0,2,Matches
20,Ayman Azhil,ma MAR,MF,Dortmund,24-031,2001,0.3,3,4,75.0,32,17,3,3,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
21,Adam Aznou,ma MAR,DF,Bayern Munich,18-343,2006,0.2,13,17,76.5,178,44,9,10,90.0,4,6,66.7,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
22,Aliou Badara Baldé,gn GUI,"MF,FW",Bochum,22-150,2002,1.0,11,20,55.0,187,62,6,9,66.7,5,8,62.5,0,0,,0,0.2,0.2,-0.2,2,1,2,1,1,Matches
23,Ridle Baku,de GER,"FW,MF",Wolfsburg,27-033,1998,13.0,381,514,74.1,6541,1845,166,203,81.8,173,225,76.9,30,45,66.7,1,1.3,1.6,-0.3,13,33,14,6,44,Matches
24,Ridle Baku,de GER,"DF,MF",RB Leipzig,27-033,1998,13.2,446,596,74.8,7019,2190,242,277,87.4,168,225,74.7,27,49,55.1,2,0.9,1.2,+1.1,12,30,16,3,37,Matches
25,Samuel Bamba,de GER,"FW,MF",Bochum,21-087,2004,0.3,17,22,77.3,284,106,7,7,100.0,10,11,90.9,0,3,0.0,0,0.0,0.1,0.0,1,2,4,1,5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Noahkai Banks,us USA,DF,Augsburg,18-161,2006,3.1,156,168,92.9,2911,843,51,55,92.7,85,90,94.4,16,18,88.9,0,0.0,0.0,0.0,0,5,1,0,8,Matches
27,Scott Banks,sct SCO,"FW,MF",St. Pauli,23-227,2001,1.1,18,30,60.0,225,43,10,11,90.9,4,10,40.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,1,Matches
28,Aymen Barkok,ma MAR,MF,Mainz 05,26-355,1998,0.8,26,37,70.3,506,182,14,17,82.4,6,9,66.7,4,5,80.0,0,0.1,0.3,-0.1,1,7,3,1,5,Matches
29,Michy Batshuayi,be BEL,FW,Eint Frankfurt,31-221,1993,2.8,45,58,77.6,587,133,31,35,88.6,10,16,62.5,2,2,100.0,0,0.0,0.4,0.0,1,2,2,0,7,Matches
30,Maximilian Bauer,de GER,DF,Augsburg,25-091,2000,7.3,275,340,80.9,5313,1982,97,111,87.4,143,162,88.3,34,61,55.7,0,0.1,0.1,-0.1,2,31,2,2,30,Matches
31,Oliver Baumann,de GER,GK,Hoffenheim,34-343,1990,27.0,713,1017,70.1,20715,15769,124,125,99.2,357,359,99.4,228,526,43.3,0,1.0,0.7,-1.0,3,35,3,0,1,Matches
32,Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,25-283,1999,17.7,414,608,68.1,6199,1765,218,282,77.3,136,187,72.7,28,53,52.8,1,1.3,1.7,-0.3,20,38,16,1,51,Matches
33,Adrian Beck,de GER,"MF,FW",Heidenheim,27-336,1997,17.3,563,705,79.9,9623,2212,264,319,82.8,226,259,87.3,54,74,73.0,1,1.2,1.9,-0.2,21,52,18,4,65,Matches
34,Timo Becker,de GER,DF,Holstein Kiel,28-047,1997,26.2,777,998,77.9,14913,5695,305,339,90.0,364,440,82.7,96,172,55.8,2,0.8,1.0,+1.2,6,38,9,4,57,Matches
35,Hannes Behrens,de GER,DF,Hoffenheim,,,0.3,16,22,72.7,253,33,10,12,83.3,4,5,80.0,2,3,66.7,0,0.0,0.0,0.0,0,0,0,0,1,Matches
36,Kevin Behrens,de GER,FW,Wolfsburg,34-097,1991,1.7,42,71,59.2,573,103,27,42,64.3,8,15,53.3,3,5,60.0,0,0.1,0.1,-0.1,2,3,0,0,2,Matches
37,Maximilian Beier,de GER,"FW,MF",Dortmund,22-206,2002,17.7,291,413,70.5,3569,852,187,240,77.9,70,100,70.0,5,9,55.6,5,3.3,2.5,+1.7,24,13,14,3,33,Matches
38,Stefan Bell,de GER,DF,Mainz 05,33-260,1991,15.0,540,685,78.8,10491,4441,179,209,85.6,298,336,88.7,55,116,47.4,1,1.0,0.6,0.0,5,32,0,0,32,Matches
39,Jeanuël Belocian,fr FRA,"DF,MF",Leverkusen,20-083,2005,0.8,34,40,85.0,418,130,24,25,96.0,8,11,72.7,1,2,50.0,0,0.0,0.1,0.0,0,2,0,0,3,Matches
40,László Bénes,sk SVK,"MF,FW",Union Berlin,27-244,1997,6.5,222,327,67.9,3999,1466,112,138,81.2,60,90,66.7,39,78,50.0,1,1.0,1.4,0.0,19,23,11,6,28,Matches
41,Ramy Bensebaini,dz ALG,DF,Dortmund,30-025,1995,20.5,1139,1316,86.6,19011,5985,540,580,93.1,510,567,89.9,77,127,60.6,6,3.2,2.1,+2.8,14,91,18,5,105,Matches
42,Mergim Berisha,de GER,"FW,MF",Hoffenheim,27-000,1998,3.7,39,56,69.6,512,122,23,27,85.2,12,20,60.0,1,3,33.3,1,1.0,0.4,0.0,3,6,2,0,7,Matches
43,Mergim Berisha,de GER,FW,Augsburg,27-000,1998,0.4,6,9,66.7,54,2,6,6,100.0,0,3,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
44,Bernardo,br BRA,DF,Bochum,29-362,1995,18.8,697,944,73.8,14997,6893,191,241,79.3,384,446,86.1,116,210,55.2,0,0.7,1.7,-0.7,4,99,11,1,98,Matches
45,Alexander Bernhardsson,se SWE,"FW,MF",Holstein Kiel,26-245,1998,13.2,186,309,60.2,3001,1038,91,128,71.1,70,109,64.2,15,43,34.9,2,0.9,1.0,+1.1,16,16,9,4,31,Matches
46,Matúš Bero,sk SVK,MF,Bochum,29-247,1995,27.5,861,1271,67.7,15441,5847,393,461,85.2,349,507,68.8,98,220,44.5,2,3.7,3.8,-1.7,53,101,33,4,135,Matches
47,Jan-Niklas Beste,de GER,"FW,MF",Freiburg,26-127,1999,2.4,70,94,74.5,1242,388,35,38,92.1,25,34,73.5,7,16,43.8,1,0.4,0.5,+0.6,3,5,3,1,8,Matches
48,El Bilal Touré,ml MLI,"FW,MF",Stuttgart,23-220,2001,4.0,75,96,78.1,960,201,49,60,81.7,18,21,85.7,3,3,100.0,1,1.1,0.8,-0.1,7,6,4,0,7,Matches
49,Tom Bischof,de GER,"MF,FW",Hoffenheim,19-317,2005,27.7,1192,1515,78.7,20359,6002,570,643,88.6,443,525,84.4,134,236,56.8,2,3.4,4.7,-1.4,48,108,37,10,134,Matches
50,Leonardo Bittencourt,de GER,MF,Werder Bremen,31-143,1993,10.7,556,662,84.0,8786,2041,280,307,91.2,210,242,86.8,42,69,60.9,1,1.6,1.8,-0.6,14,54,14,2,64,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Myron Boadu,nl NED,FW,Bochum,24-117,2001,10.7,129,178,72.5,2138,315,53,74,71.6,66,81,81.5,6,7,85.7,1,1.1,1.6,-0.1,10,5,5,1,16,Matches
52,Sacha Boey,fr FRA,DF,Bayern Munich,24-240,2000,6.3,449,486,92.4,6193,1551,286,299,95.7,141,155,91.0,9,14,64.3,1,1.0,1.4,0.0,2,44,6,2,39,Matches
53,Victor Boniface,ng NGA,FW,Leverkusen,24-139,2000,11.2,172,245,70.2,2453,503,95,127,74.8,52,68,76.5,12,16,75.0,1,1.1,1.0,-0.1,10,10,8,2,23,Matches
54,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,26-050,1999,8.7,270,330,81.8,4925,1394,93,104,89.4,154,174,88.5,18,37,48.6,1,0.5,0.1,+0.5,1,18,2,0,21,Matches
55,Carlo Boukhalfa,ma MAR,MF,St. Pauli,26-008,1999,16.3,286,413,69.2,3732,1109,177,224,79.0,82,118,69.5,7,24,29.2,0,0.9,1.1,-0.9,8,22,7,2,36,Matches
56,Julian Brandt,de GER,MF,Dortmund,29-009,1996,23.7,892,1133,78.7,13679,3605,486,560,86.8,310,382,81.2,61,111,55.0,8,7.8,6.1,+0.2,56,86,46,6,139,Matches
57,Tim Breithaupt,de GER,MF,Augsburg,23-093,2002,1.3,58,67,86.6,1042,369,20,24,83.3,34,36,94.4,3,4,75.0,1,0.4,0.3,+0.6,1,10,1,1,10,Matches
58,Maximilian Breunig,de GER,"FW,MF",Heidenheim,24-270,2000,3.9,47,81,58.0,789,140,19,37,51.4,20,25,80.0,5,6,83.3,0,0.2,0.1,-0.2,4,5,0,0,7,Matches
59,Moritz Broschinski,de GER,"FW,MF",Bochum,24-230,2000,15.3,185,291,63.6,2775,554,101,135,74.8,63,87,72.4,10,20,50.0,3,1.8,1.5,+1.2,12,9,8,4,20,Matches
60,Nathaniel Brown,de GER,"DF,MF",Eint Frankfurt,21-329,2003,19.6,681,839,81.2,10089,3065,398,423,94.1,210,253,83.0,45,88,51.1,6,4.6,4.5,+1.4,36,32,21,7,58,Matches
61,Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,26-234,1998,4.4,121,163,74.2,1819,401,61,72,84.7,40,56,71.4,10,20,50.0,2,0.6,0.7,+1.4,8,7,6,2,16,Matches
62,Jacob Bruun Larsen,dk DEN,"MF,FW",Stuttgart,26-234,1998,4.5,114,162,70.4,1844,532,62,81,76.5,42,54,77.8,8,14,57.1,0,1.2,1.6,-1.2,10,8,17,6,19,Matches
63,Emi Buendía,ar ARG,MF,Leverkusen,28-137,1996,2.8,121,155,78.1,1578,405,73,83,88.0,37,47,78.7,3,7,42.9,0,0.9,0.5,-0.9,6,9,4,0,14,Matches
64,Marius Bülter,de GER,"FW,DF",Hoffenheim,32-043,1993,18.7,373,563,66.3,6051,1623,196,248,79.0,133,191,69.6,32,77,41.6,2,3.1,3.4,-1.1,21,30,25,12,34,Matches
65,Jonathan Burkardt,de GER,FW,Mainz 05,24-304,2000,22.4,369,510,72.4,6151,827,193,252,76.6,126,155,81.3,36,51,70.6,2,3.1,2.6,-1.1,19,22,16,4,41,Matches
66,Oliver Burke,sct SCO,FW,Werder Bremen,28-034,1997,10.1,179,299,59.9,2061,379,130,184,70.7,27,52,51.9,6,17,35.3,0,1.7,1.1,-1.7,14,5,7,3,15,Matches
67,Marnon Busch,de GER,"DF,MF",Heidenheim,30-154,1994,15.5,614,845,72.7,13121,4710,192,230,83.5,299,374,79.9,117,207,56.5,1,1.1,1.8,-0.1,12,59,17,10,63,Matches
68,Anthony Caci,fr FRA,DF,Mainz 05,27-314,1997,29.1,1170,1624,72.0,19075,7909,612,722,84.8,437,596,73.3,91,194,46.9,7,6.6,7.7,+0.4,50,94,44,20,130,Matches
69,Cole Campbell,us USA,"MF,FW",Dortmund,19-080,2006,0.2,13,15,86.7,176,46,8,9,88.9,3,4,75.0,1,1,100.0,0,0.0,0.0,0.0,0,0,1,1,0,Matches
