Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Junior Adamu,at AUT,FW,Freiburg,23-339,2001,16.4,514,19,51,237,231,77,514,29,10,34.5,18,62.1,268,1015,345,8,5,4,57,21,338,81,Matches
2,Karim Adeyemi,de GER,"FW,MF",Dortmund,23-113,2002,14.3,585,9,49,219,327,80,585,81,38,46.9,40,49.4,383,2953,1443,64,33,37,40,30,430,139,Matches
3,Amine Adli,ma MAR,"MF,FW",Leverkusen,25-001,2000,7.4,427,4,38,137,261,48,427,32,15,46.9,16,50.0,228,1366,791,35,22,10,18,6,320,98,Matches
4,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,27-088,1998,16.9,692,12,79,291,334,55,692,94,47,50.0,40,42.6,458,3236,1343,51,43,25,54,40,514,100,Matches
5,Felix Agu,de GER,DF,Werder Bremen,25-226,1999,18.7,991,48,297,438,261,34,991,33,8,24.2,18,54.5,510,2427,1184,29,12,8,33,9,573,101,Matches
6,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,23-209,2001,0.5,22,0,2,10,10,2,22,0,0,,0,,12,68,26,1,2,0,3,0,14,3,Matches
7,Kevin Akpoguma,ng NGA,DF,Hoffenheim,30-022,1995,23.7,1642,221,735,805,113,5,1642,15,8,53.3,6,40.0,863,3793,1731,14,14,0,9,9,998,16,Matches
8,Andreas Albers,dk DEN,FW,St. Pauli,35-049,1990,0.7,44,0,2,17,26,8,44,3,2,66.7,0,0.0,24,129,18,1,0,0,4,6,40,6,Matches
9,Ben Alexander Voll,de GER,"GK,MF",St. Pauli,24-153,2000,0.0,1,0,1,0,0,0,1,0,0,,0,,1,1,1,0,0,0,0,0,1,0,Matches
