Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Junior Adamu,at AUT,FW,Freiburg,23-339,2001,16.4,2,34,11,32.4,2.08,0.67,0.06,0.18,12.4,0,0,0,5.2,5.2,0.15,-3.2,-3.2,Matches
2,Karim Adeyemi,de GER,"FW,MF",Dortmund,23-113,2002,14.3,6,44,17,38.6,3.07,1.19,0.14,0.35,17.6,0,0,0,5.0,5.0,0.11,+1.0,+1.0,Matches
3,Amine Adli,ma MAR,"MF,FW",Leverkusen,25-001,2000,7.4,2,18,6,33.3,2.44,0.81,0.11,0.33,13.4,0,0,0,2.3,2.3,0.13,-0.3,-0.3,Matches
4,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,27-088,1998,16.9,3,34,12,35.3,2.01,0.71,0.09,0.25,20.3,0,0,0,2.9,2.9,0.09,+0.1,+0.1,Matches
5,Felix Agu,de GER,DF,Werder Bremen,25-226,1999,18.7,3,8,4,50.0,0.43,0.21,0.38,0.75,12.7,0,0,0,1.4,1.4,0.17,+1.6,+1.6,Matches
6,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,23-209,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
7,Kevin Akpoguma,ng NGA,DF,Hoffenheim,30-022,1995,23.7,0,4,0,0.0,0.17,0.00,0.00,,31.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
8,Andreas Albers,dk DEN,FW,St. Pauli,35-049,1990,0.7,1,3,1,33.3,4.35,1.45,0.33,1.00,11.9,0,0,0,0.6,0.6,0.20,+0.4,+0.4,Matches
9,Ben Alexander Voll,de GER,"GK,MF",St. Pauli,24-153,2000,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
10,Skelly Alvero,fr FRA,MF,Werder Bremen,23-007,2002,2.6,0,1,0,0.0,0.38,0.00,0.00,,14.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
11,Aurele Amenda,ch SUI,DF,Eint Frankfurt,21-284,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
12,Nadiem Amiri,de GER,MF,Mainz 05,28-196,1996,26.5,7,57,23,40.4,2.15,0.87,0.09,0.22,24.9,9,2,2,4.9,3.3,0.06,+2.1,+1.7,Matches
13,Mohamed Amoura,dz ALG,FW,Wolfsburg,25-002,2000,26.4,10,69,25,36.2,2.61,0.95,0.12,0.32,16.5,0,2,2,8.5,7.0,0.10,+1.5,+1.0,Matches
14,Robert Andrich,de GER,"MF,DF",Leverkusen,30-231,1994,16.5,2,20,4,20.0,1.21,0.24,0.10,0.50,21.9,0,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches
15,Waldemar Anton,de GER,DF,Dortmund,28-295,1996,19.7,2,19,3,15.8,0.97,0.15,0.11,0.67,13.5,0,0,0,1.7,1.7,0.09,+0.3,+0.3,Matches
16,Maximilian Arnold,de GER,MF,Wolfsburg,30-349,1994,25.2,3,26,11,42.3,1.03,0.44,0.12,0.27,28.7,9,0,0,0.9,0.9,0.03,+2.1,+2.1,Matches
17,Jann-Fiete Arp,de GER,"FW,MF",Holstein Kiel,25-125,2000,7.9,2,20,9,45.0,2.52,1.14,0.05,0.11,21.3,3,1,2,3.8,2.2,0.11,-1.8,-1.2,Matches
18,Arthur,br BRA,DF,Leverkusen,22-055,2003,7.5,0,1,0,0.0,0.13,0.00,0.00,,15.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
19,Noah Atubolu,de GER,GK,Freiburg,22-351,2002,24.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
20,Ayman Azhil,ma MAR,MF,Dortmund,24-031,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
21,Adam Aznou,ma MAR,DF,Bayern Munich,18-343,2006,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
22,Aliou Badara Baldé,gn GUI,"MF,FW",Bochum,22-150,2002,1.0,0,4,1,25.0,3.96,0.99,0.00,0.00,26.5,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
23,Ridle Baku,de GER,"FW,MF",Wolfsburg,27-033,1998,13.0,2,18,6,33.3,1.38,0.46,0.11,0.33,19.9,0,0,0,1.5,1.5,0.08,+0.5,+0.5,Matches
24,Ridle Baku,de GER,"DF,MF",RB Leipzig,27-033,1998,13.2,1,16,4,25.0,1.22,0.30,0.06,0.25,17.1,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches
25,Samuel Bamba,de GER,"FW,MF",Bochum,21-087,2004,0.3,0,2,1,50.0,6.67,3.33,0.00,0.00,22.0,1,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
26,Noahkai Banks,us USA,DF,Augsburg,18-161,2006,3.1,0,1,0,0.0,0.32,0.00,0.00,,10.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
27,Scott Banks,sct SCO,"FW,MF",St. Pauli,23-227,2001,1.1,0,3,0,0.0,2.67,0.00,0.00,,11.5,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
28,Aymen Barkok,ma MAR,MF,Mainz 05,26-355,1998,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
29,Michy Batshuayi,be BEL,FW,Eint Frankfurt,31-221,1993,2.8,2,3,2,66.7,1.07,0.71,0.67,1.00,9.2,0,0,0,0.8,0.8,0.28,+1.2,+1.2,Matches
30,Maximilian Bauer,de GER,DF,Augsburg,25-091,2000,7.3,0,1,1,100.0,0.14,0.14,0.00,0.00,7.2,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
31,Oliver Baumann,de GER,GK,Hoffenheim,34-343,1990,27.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
32,Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,25-283,1999,17.7,2,39,15,38.5,2.20,0.85,0.05,0.13,14.2,0,0,0,4.5,4.5,0.12,-2.5,-2.5,Matches
33,Adrian Beck,de GER,"MF,FW",Heidenheim,27-336,1997,17.3,4,37,11,29.7,2.14,0.64,0.11,0.36,17.8,0,0,0,3.2,3.2,0.09,+0.8,+0.8,Matches
34,Timo Becker,de GER,DF,Holstein Kiel,28-047,1997,26.2,0,17,4,23.5,0.65,0.15,0.00,0.00,18.4,1,0,0,1.4,1.4,0.09,-1.4,-1.4,Matches
35,Hannes Behrens,de GER,DF,Hoffenheim,,,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
36,Kevin Behrens,de GER,FW,Wolfsburg,34-097,1991,1.7,1,8,3,37.5,4.68,1.75,0.13,0.33,10.6,0,0,0,2.3,2.3,0.29,-1.3,-1.3,Matches
37,Maximilian Beier,de GER,"FW,MF",Dortmund,22-206,2002,17.7,8,42,13,31.0,2.38,0.74,0.19,0.62,12.6,0,0,0,7.7,7.7,0.18,+0.3,+0.3,Matches
38,Stefan Bell,de GER,DF,Mainz 05,33-260,1991,15.0,0,12,3,25.0,0.80,0.20,0.00,0.00,11.3,0,0,0,0.8,0.8,0.06,-0.8,-0.8,Matches
39,Jeanuël Belocian,fr FRA,"DF,MF",Leverkusen,20-083,2005,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
40,László Bénes,sk SVK,"MF,FW",Union Berlin,27-244,1997,6.5,2,18,7,38.9,2.76,1.08,0.11,0.29,21.9,2,0,0,0.9,0.9,0.05,+1.1,+1.1,Matches
41,Ramy Bensebaini,dz ALG,DF,Dortmund,30-025,1995,20.5,1,18,2,11.1,0.88,0.10,0.06,0.50,12.6,0,0,0,1.2,1.2,0.07,-0.2,-0.2,Matches
42,Mergim Berisha,de GER,"FW,MF",Hoffenheim,27-000,1998,3.7,1,11,3,27.3,2.97,0.81,0.09,0.33,16.0,1,0,0,1.0,1.0,0.09,0.0,0.0,Matches
43,Mergim Berisha,de GER,FW,Augsburg,27-000,1998,0.4,0,3,1,33.3,6.75,2.25,0.00,0.00,15.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
44,Bernardo,br BRA,DF,Bochum,29-362,1995,18.8,0,8,2,25.0,0.43,0.11,0.00,0.00,8.6,0,0,0,0.7,0.7,0.09,-0.7,-0.7,Matches
45,Alexander Bernhardsson,se SWE,"FW,MF",Holstein Kiel,26-245,1998,13.2,7,26,13,50.0,1.97,0.99,0.27,0.54,17.6,0,0,0,3.9,3.9,0.15,+3.1,+3.1,Matches
46,Matúš Bero,sk SVK,MF,Bochum,29-247,1995,27.5,5,30,12,40.0,1.09,0.44,0.17,0.42,17.2,1,0,1,3.9,2.9,0.10,+1.1,+2.1,Matches
47,Jan-Niklas Beste,de GER,"FW,MF",Freiburg,26-127,1999,2.4,0,6,2,33.3,2.55,0.85,0.00,0.00,17.6,1,0,0,0.9,0.9,0.15,-0.9,-0.9,Matches
48,El Bilal Touré,ml MLI,"FW,MF",Stuttgart,23-220,2001,4.0,2,14,4,28.6,3.54,1.01,0.14,0.50,15.2,0,0,0,1.6,1.6,0.12,+0.4,+0.4,Matches
49,Tom Bischof,de GER,"MF,FW",Hoffenheim,19-317,2005,27.7,5,51,18,35.3,1.84,0.65,0.10,0.28,23.1,5,0,0,2.2,2.2,0.04,+2.8,+2.8,Matches
50,Leonardo Bittencourt,de GER,MF,Werder Bremen,31-143,1993,10.7,2,27,9,33.3,2.52,0.84,0.07,0.22,21.6,1,0,0,1.6,1.6,0.06,+0.4,+0.4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
51,Myron Boadu,nl NED,FW,Bochum,24-117,2001,10.7,7,25,11,44.0,2.33,1.02,0.24,0.55,12.0,0,1,1,6.6,5.8,0.23,+0.4,+0.2,Matches
52,Sacha Boey,fr FRA,DF,Bayern Munich,24-240,2000,6.3,0,3,1,33.3,0.47,0.16,0.00,0.00,18.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
53,Victor Boniface,ng NGA,FW,Leverkusen,24-139,2000,11.2,8,50,17,34.0,4.46,1.52,0.16,0.47,14.5,0,0,1,7.8,7.1,0.14,+0.2,+0.9,Matches
54,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,26-050,1999,8.7,2,8,3,37.5,0.91,0.34,0.25,0.67,7.6,0,0,0,1.2,1.2,0.15,+0.8,+0.8,Matches
55,Carlo Boukhalfa,ma MAR,MF,St. Pauli,26-008,1999,16.3,2,21,4,19.0,1.29,0.25,0.10,0.50,16.6,0,0,0,1.5,1.5,0.07,+0.5,+0.5,Matches
56,Julian Brandt,de GER,MF,Dortmund,29-009,1996,23.7,4,42,14,33.3,1.77,0.59,0.10,0.29,18.8,6,0,0,4.2,4.2,0.10,-0.2,-0.2,Matches
57,Tim Breithaupt,de GER,MF,Augsburg,23-093,2002,1.3,0,1,0,0.0,0.75,0.00,0.00,,7.9,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
58,Maximilian Breunig,de GER,"FW,MF",Heidenheim,24-270,2000,3.9,2,10,2,20.0,2.57,0.51,0.10,0.50,15.2,0,1,1,3.4,2.7,0.27,-1.4,-1.7,Matches
59,Moritz Broschinski,de GER,"FW,MF",Bochum,24-230,2000,15.3,1,37,11,29.7,2.42,0.72,0.03,0.09,17.0,0,0,0,4.2,4.2,0.11,-3.2,-3.2,Matches
