Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Junior Adamu,at AUT,FW,Freiburg,23-339,2001,24,18,1472,16.4,2,2,4,2,0,0,5,1,5.2,5.2,2.4,7.5,8,14,81,0.12,0.12,0.24,0.12,0.24,0.32,0.14,0.46,0.32,0.46,Matches
2,Karim Adeyemi,de GER,"FW,MF",Dortmund,23-113,2002,23,15,1290,14.3,6,5,11,6,0,0,3,0,5.0,5.0,5.5,10.5,64,27,139,0.42,0.35,0.77,0.42,0.77,0.35,0.39,0.74,0.35,0.74,Matches
3,Amine Adli,ma MAR,"MF,FW",Leverkusen,25-001,2000,18,5,663,7.4,2,0,2,2,0,0,3,0,2.3,2.3,0.3,2.7,35,22,98,0.27,0.00,0.27,0.27,0.27,0.32,0.05,0.36,0.32,0.36,Matches
4,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,27-088,1998,30,15,1519,16.9,3,1,4,3,0,0,3,0,2.9,2.9,3.7,6.6,51,30,100,0.18,0.06,0.24,0.18,0.24,0.17,0.22,0.39,0.17,0.39,Matches
5,Felix Agu,de GER,DF,Werder Bremen,25-226,1999,21,20,1680,18.7,3,0,3,3,0,0,1,0,1.4,1.4,1.7,3.0,29,41,101,0.16,0.00,0.16,0.16,0.16,0.07,0.09,0.16,0.07,0.16,Matches
6,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,23-209,2001,5,0,43,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
7,Kevin Akpoguma,ng NGA,DF,Hoffenheim,30-022,1995,31,22,2130,23.7,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,14,94,16,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.02,Matches
8,Andreas Albers,dk DEN,FW,St. Pauli,35-049,1990,14,0,62,0.7,1,0,1,1,0,0,0,0,0.6,0.6,0.1,0.7,1,3,6,1.45,0.00,1.45,1.45,1.45,0.90,0.14,1.04,0.90,1.04,Matches
9,Ben Alexander Voll,de GER,"GK,MF",St. Pauli,24-153,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
10,Skelly Alvero,fr FRA,MF,Werder Bremen,23-007,2002,12,1,236,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,8,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
11,Aurele Amenda,ch SUI,DF,Eint Frankfurt,21-284,2003,7,1,88,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,0.00,0.25,Matches
