Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Max Aarons,eng ENG,"DF,MF",Valencia,25-127,2000,1.2,3,3,2,1,0,3,3,100.0,0,1,0,1,0,3,3,0,Matches
2,Rodrigo Abajas,es ESP,DF,Valencia,21-364,2003,0.7,3,2,2,1,0,3,3,100.0,0,1,0,1,1,4,0,0,Matches
3,Abel,es ESP,DF,Osasuna,24-263,2000,22.4,59,35,28,24,7,37,59,62.7,22,28,4,24,18,77,61,2,Matches
4,Nabil Aberdin,fr FRA,MF,Getafe,22-261,2002,2.9,6,4,3,3,0,1,1,100.0,0,3,0,3,0,6,5,0,Matches
5,Abdel Abqar,ma MAR,DF,Alavés,26-062,1999,27.4,36,23,24,11,1,20,34,58.8,14,28,18,10,39,75,146,1,Matches
6,Akor Adams,ng NGA,FW,Sevilla,25-102,2000,1.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
7,Adrián,es ESP,GK,Betis,38-128,1987,15.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,9,2,Matches
8,Julen Agirrezabala,es ESP,GK,Athletic Club,24-136,2000,13.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,0,Matches
9,Lucien Agoume,fr FRA,MF,Sevilla,23-091,2002,20.5,59,25,18,32,9,21,31,67.7,10,25,9,16,35,94,35,0,Matches
10,Álvaro Aguado,es ESP,MF,Espanyol,29-010,1996,4.8,4,2,2,2,0,2,8,25.0,6,6,1,5,4,8,5,1,Matches
11,Lorenzo Aguado,es ESP,DF,Real Madrid,22-234,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
12,Nayef Aguerd,ma MAR,DF,Real Sociedad,29-042,1996,19.6,30,24,17,12,1,12,18,66.7,6,21,15,6,13,43,91,0,Matches
13,Joseph Aidoo,gh GHA,DF,Valladolid,29-224,1995,6.0,5,5,3,2,0,2,3,66.7,1,6,3,3,4,9,22,1,Matches
14,Joseph Aidoo,gh GHA,DF,Celta Vigo,29-224,1995,0.0,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0,Matches
15,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,21-025,2004,6.5,12,7,4,4,4,6,12,50.0,6,8,0,8,3,15,13,0,Matches
16,David Alaba,at AUT,DF,Real Madrid,32-321,1992,3.5,1,0,1,0,0,0,0,,0,5,5,0,6,7,7,0,Matches
17,Raúl Albiol,es ESP,DF,Villarreal,39-249,1985,13.2,10,9,9,1,0,6,10,60.0,4,10,9,1,6,16,69,1,Matches
18,Omar Alderete,py PAR,DF,Getafe,28-136,1996,31.0,41,27,29,10,2,20,30,66.7,10,33,21,12,37,78,209,1,Matches
19,Carles Aleñá,es ESP,"MF,FW",Getafe,27-126,1998,5.0,6,3,2,3,1,4,13,30.8,9,9,1,8,0,6,7,0,Matches
20,Carles Aleñá,es ESP,"MF,FW",Alavés,27-126,1998,8.5,17,10,6,6,5,7,15,46.7,8,7,0,7,2,19,3,0,Matches
21,Alfon,es ESP,"FW,MF",Celta Vigo,26-007,1999,13.5,6,2,2,2,2,2,10,20.0,8,6,0,6,4,10,5,1,Matches
22,Tadeo Allende,ar ARG,FW,Celta Vigo,26-080,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
23,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,24-346,2000,20.2,46,30,17,20,9,14,34,41.2,20,19,2,17,8,54,14,1,Matches
24,Iker Almena,es ESP,"FW,DF",Girona,21-007,2004,0.5,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,2,0,Matches
