Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Max Aarons,eng ENG,"DF,MF",Valencia,25-128,2000,1.2,1,0,0,0,1,0,2,0,3,0,0,0,5,2,1,66.7,Matches
2,Rodrigo Abajas,es ESP,DF,Valencia,22-000,2003,0.7,1,0,0,2,0,1,1,1,2,0,0,0,2,0,1,0.0,Matches
3,Abel,es ESP,DF,Osasuna,24-264,2000,22.4,3,0,0,24,32,3,83,18,35,0,1,0,105,19,17,52.8,Matches
4,Nabil Aberdin,fr FRA,MF,Getafe,22-262,2002,2.9,1,0,0,7,6,0,0,0,4,0,0,0,8,10,3,76.9,Matches
5,Abdel Abqar,ma MAR,DF,Alavés,26-063,1999,27.4,13,0,0,47,31,2,5,39,23,1,2,0,87,40,35,53.3,Matches
6,Akor Adams,ng NGA,FW,Sevilla,25-103,2000,1.5,0,0,0,1,0,1,0,0,0,0,0,0,4,6,10,37.5,Matches
7,Adrián,es ESP,GK,Betis,38-129,1987,15.0,3,0,0,0,3,0,0,0,0,0,0,0,14,2,1,66.7,Matches
8,Julen Agirrezabala,es ESP,GK,Athletic Club,24-137,2000,13.4,1,1,0,3,1,0,0,0,0,0,2,0,21,5,0,100.0,Matches
9,Lucien Agoume,fr FRA,MF,Sevilla,23-092,2002,20.5,4,1,0,42,6,2,14,35,25,0,1,0,117,40,37,51.9,Matches
