Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Max Aarons,eng ENG,"DF,MF",Valencia,25-127,2000,1.2,29,42,69.0,414,130,16,22,72.7,11,16,68.8,1,2,50.0,0,0.0,0.0,0.0,1,1,0,0,4,Matches
2,Rodrigo Abajas,es ESP,DF,Valencia,21-364,2003,0.7,17,29,58.6,268,110,11,14,78.6,4,7,57.1,2,7,28.6,0,0.0,0.0,0.0,0,0,0,0,2,Matches
3,Abel,es ESP,DF,Osasuna,24-263,2000,22.4,749,1035,72.4,12498,4920,371,421,88.1,304,386,78.8,57,157,36.3,0,1.0,1.4,-1.0,15,55,16,12,71,Matches
4,Nabil Aberdin,fr FRA,MF,Getafe,22-261,2002,2.9,36,61,59.0,680,267,12,20,60.0,12,19,63.2,8,13,61.5,0,0.0,0.1,0.0,1,7,2,0,6,Matches
5,Abdel Abqar,ma MAR,DF,Alavés,26-062,1999,27.4,719,939,76.6,16039,5771,180,194,92.8,421,460,91.5,114,258,44.2,1,0.3,0.4,+0.7,8,67,10,2,79,Matches
6,Akor Adams,ng NGA,FW,Sevilla,25-102,2000,1.5,20,27,74.1,334,48,9,12,75.0,7,9,77.8,3,5,60.0,0,0.0,0.0,0.0,0,3,1,0,5,Matches
7,Adrián,es ESP,GK,Betis,38-128,1987,15.0,360,478,75.3,9194,6292,53,54,98.1,205,208,98.6,101,211,47.9,0,0.0,0.0,0.0,0,4,0,0,0,Matches
8,Julen Agirrezabala,es ESP,GK,Athletic Club,24-136,2000,13.4,281,411,68.4,7681,5777,46,46,100.0,165,165,100.0,70,196,35.7,0,0.0,0.0,0.0,0,1,0,0,0,Matches
9,Lucien Agoume,fr FRA,MF,Sevilla,23-091,2002,20.5,876,1079,81.2,13887,4670,474,523,90.6,310,372,83.3,69,122,56.6,1,2.0,1.3,-1.0,19,111,12,3,113,Matches
10,Álvaro Aguado,es ESP,MF,Espanyol,29-010,1996,4.8,188,242,77.7,3689,1170,60,77,77.9,97,114,85.1,28,40,70.0,1,0.6,0.4,+0.4,4,31,8,3,36,Matches
11,Lorenzo Aguado,es ESP,DF,Real Madrid,22-234,2002,0.1,1,1,100.0,34,0,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
12,Nayef Aguerd,ma MAR,DF,Real Sociedad,29-042,1996,19.6,1213,1389,87.3,23636,8366,438,462,94.8,618,662,93.4,144,229,62.9,0,0.1,0.3,-0.1,5,87,3,1,75,Matches
13,Joseph Aidoo,gh GHA,DF,Valladolid,29-224,1995,6.0,323,360,89.7,6776,2399,77,82,93.9,204,214,95.3,41,62,66.1,0,0.0,0.1,0.0,0,9,2,0,12,Matches
14,Joseph Aidoo,gh GHA,DF,Celta Vigo,29-224,1995,0.0,6,7,85.7,126,81,1,1,100.0,5,5,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
15,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,21-025,2004,6.5,136,185,73.5,2161,534,76,88,86.4,46,63,73.0,8,14,57.1,0,1.0,1.7,-1.0,9,5,8,2,12,Matches
16,David Alaba,at AUT,DF,Real Madrid,32-321,1992,3.5,206,228,90.4,3522,1456,90,90,100.0,96,98,98.0,15,32,46.9,0,0.1,0.1,-0.1,1,11,1,0,7,Matches
17,Raúl Albiol,es ESP,DF,Villarreal,39-249,1985,13.2,727,813,89.4,14582,6006,213,225,94.7,433,463,93.5,76,115,66.1,0,0.0,0.1,0.0,0,26,1,0,34,Matches
18,Omar Alderete,py PAR,DF,Getafe,28-136,1996,31.0,705,1068,66.0,16594,7696,184,224,82.1,358,452,79.2,160,351,45.6,0,0.9,0.9,-0.9,11,129,15,2,109,Matches
19,Carles Aleñá,es ESP,"MF,FW",Getafe,27-126,1998,5.0,93,117,79.5,1504,299,45,55,81.8,38,44,86.4,6,11,54.5,0,0.1,0.1,-0.1,3,9,3,1,12,Matches
20,Carles Aleñá,es ESP,"MF,FW",Alavés,27-126,1998,8.5,272,359,75.8,4070,1061,152,170,89.4,90,118,76.3,19,36,52.8,2,0.7,0.8,+1.3,11,28,7,2,46,Matches
21,Alfon,es ESP,"FW,MF",Celta Vigo,26-007,1999,13.5,244,341,71.6,3568,491,138,157,87.9,84,114,73.7,11,24,45.8,2,2.3,2.0,-0.3,21,7,5,1,20,Matches
22,Tadeo Allende,ar ARG,FW,Celta Vigo,26-080,1999,0.0,1,3,33.3,7,1,1,2,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
23,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,24-346,2000,20.2,721,850,84.8,11851,3380,372,396,93.9,251,287,87.5,71,112,63.4,3,2.8,4.6,+0.2,39,93,21,5,132,Matches
24,Iker Almena,es ESP,"FW,DF",Girona,21-007,2004,0.5,23,32,71.9,328,34,13,14,92.9,10,14,71.4,0,1,0.0,1,0.7,0.4,+0.3,2,0,0,0,2,Matches
25,Marcos Alonso,es ESP,DF,Celta Vigo,34-134,1990,27.5,1997,2243,89.0,36187,13120,797,846,94.2,1004,1061,94.6,167,270,61.9,0,1.0,1.9,-1.0,16,211,18,5,201,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
26,Adrià Altimira,es ESP,"DF,FW",Leganés,24-044,2001,14.1,361,461,78.3,5729,1662,197,228,86.4,132,168,78.6,26,46,56.5,0,0.2,0.5,-0.2,5,29,8,1,38,Matches
27,Sergi Altimira,es ESP,MF,Betis,23-259,2001,19.5,980,1104,88.8,15628,3679,487,528,92.2,392,425,92.2,66,85,77.6,1,1.6,1.0,-0.6,20,83,13,0,92,Matches
28,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,21-313,2003,17.3,787,1000,78.7,11992,3230,423,486,87.0,314,380,82.6,31,56,55.4,3,1.1,2.0,+1.9,17,34,14,3,58,Matches
29,Julián Álvarez,ar ARG,FW,Atlético Madrid,25-100,2000,25.2,643,858,74.9,9499,2256,362,433,83.6,196,240,81.7,45,99,45.5,2,3.5,3.8,-1.5,33,39,29,5,77,Matches
30,Yeray Álvarez,es ESP,DF,Athletic Club,30-107,1995,17.8,881,1047,84.1,17820,6199,263,294,89.5,526,565,93.1,91,169,53.8,0,0.2,0.4,-0.2,4,75,3,2,103,Matches
31,Selim Amallah,ma MAR,MF,Valladolid,28-177,1996,14.8,309,394,78.4,5410,1593,158,174,90.8,96,113,85.0,44,74,59.5,1,1.0,1.1,0.0,12,42,10,0,54,Matches
32,Amath,sn SEN,"FW,DF",Valladolid,28-299,1996,3.9,75,98,76.5,1131,259,43,47,91.5,23,28,82.1,6,12,50.0,1,0.2,0.1,+0.8,4,4,3,1,12,Matches
33,Marcos André,br BRA,FW,Valladolid,28-203,1996,13.2,138,210,65.7,2358,395,79,103,76.7,42,65,64.6,14,18,77.8,2,0.8,0.3,+1.2,9,13,3,0,16,Matches
34,Leandro Antonetti,pr PUR,FW,Sevilla,22-118,2003,0.1,1,1,100.0,10,6,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches
35,Antoniu,es ESP,"MF,FW",Espanyol,22-248,2002,9.8,136,198,68.7,1916,580,79,94,84.0,45,64,70.3,4,14,28.6,1,1.1,1.0,-0.1,7,10,6,3,26,Matches
36,Antony,br BRA,FW,Betis,25-076,2000,12.2,517,639,80.9,6940,1786,334,380,87.9,126,162,77.8,25,43,58.1,2,3.1,2.5,-1.1,31,29,34,7,50,Matches
37,Anuar,ma MAR,"MF,FW",Valladolid,30-116,1995,16.8,336,419,80.2,5030,813,174,203,85.7,136,164,82.9,13,26,50.0,0,0.5,0.5,-0.5,6,10,3,2,23,Matches
38,Aritz Arambarri,es ESP,DF,Leganés,27-100,1998,2.0,49,67,73.1,1025,258,11,13,84.6,34,41,82.9,4,12,33.3,0,0.0,0.0,0.0,0,1,0,0,2,Matches
39,Mauro Arambarri,uy URU,MF,Getafe,29-223,1995,26.9,552,747,73.9,9481,2246,256,319,80.3,226,282,80.1,55,106,51.9,0,0.6,0.6,-0.6,15,71,3,1,70,Matches
40,Jon Aramburu,ve VEN,DF,Real Sociedad,22-292,2002,25.7,1118,1427,78.3,16656,6847,600,670,89.6,432,556,77.7,47,118,39.8,1,1.1,1.3,-0.1,13,80,11,6,96,Matches
41,Ronald Araújo,uy URU,DF,Barcelona,26-065,1999,7.1,532,586,90.8,10188,2976,154,169,91.1,323,339,95.3,45,63,71.4,1,0.4,0.2,+0.6,4,45,3,0,43,Matches
42,Adu Ares,es ESP,FW,Athletic Club,23-211,2001,0.2,5,9,55.6,64,15,3,5,60.0,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,1,0,3,Matches
43,Jesús Areso,es ESP,DF,Osasuna,25-313,1999,30.2,1000,1392,71.8,16693,7092,492,557,88.3,402,555,72.4,84,190,44.2,3,2.9,2.1,+0.1,24,87,44,25,95,Matches
44,David Argüelles,es ESP,MF,Getafe,23-130,2002,0.1,3,5,60.0,25,2,3,4,75.0,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
45,José Arnaiz,es ESP,"MF,FW",Osasuna,30-026,1995,1.4,39,61,63.9,522,149,23,27,85.2,7,13,53.8,4,13,30.8,0,0.1,0.3,-0.1,2,2,3,2,3,Matches
46,Sergio Arribas,es ESP,DF,Betis,22-090,2003,1.0,37,54,68.5,533,210,22,23,95.7,12,20,60.0,2,5,40.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
47,Takuma Asano,jp JPN,"FW,MF",Mallorca,30-182,1994,11.7,148,219,67.6,2071,485,93,110,84.5,48,67,71.6,4,17,23.5,1,0.7,0.6,+0.3,6,8,3,2,20,Matches
48,Raúl Asencio,es ESP,DF,Real Madrid,22-087,2003,15.9,851,908,93.7,14654,4842,375,390,96.2,412,428,96.3,52,74,70.3,1,0.5,0.4,+0.5,5,44,3,0,25,Matches
49,Iago Aspas,es ESP,"FW,MF",Celta Vigo,37-283,1987,18.2,614,817,75.2,9898,2875,322,398,80.9,187,234,79.9,67,99,67.7,4,3.8,3.6,+0.2,34,73,33,3,123,Matches
50,Yaser Asprilla,co COL,"FW,MF",Girona,21-173,2003,12.8,405,559,72.5,7417,2018,190,218,87.2,154,199,77.4,55,103,53.4,0,2.1,2.9,-2.1,21,31,36,9,70,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
51,Ezequiel Ávila,ar ARG,FW,Betis,31-094,1994,7.5,166,238,69.7,2762,614,89,110,80.9,56,78,71.8,16,30,53.3,0,1.0,1.0,-1.0,15,1,11,6,18,Matches
52,Adam Aznou,ma MAR,DF,Valladolid,18-343,2006,8.5,207,289,71.6,3094,1057,115,134,85.8,71,102,69.6,14,31,45.2,0,0.1,0.1,-0.1,4,15,1,0,22,Matches
