Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Max Aarons,eng ENG,"DF,MF",Valencia,25-127,2000,1.2,59,1,17,12,30,0,59,4,1,25.0,2,50.0,30,95,41,0,3,0,2,1,33,8,Matches
2,Rodrigo Abajas,es ESP,DF,Valencia,21-364,2003,0.7,36,1,8,19,9,1,36,1,1,100.0,0,0.0,13,101,67,3,2,1,0,2,16,3,Matches
3,Abel,es ESP,DF,Osasuna,24-263,2000,22.4,1279,63,365,583,341,18,1279,35,18,51.4,13,37.1,586,3176,1721,49,43,7,27,18,655,88,Matches
4,Nabil Aberdin,fr FRA,MF,Getafe,22-261,2002,2.9,87,6,21,56,10,2,87,3,2,66.7,1,33.3,34,148,74,2,0,0,1,1,36,2,Matches
5,Abdel Abqar,ma MAR,DF,Alavés,26-062,1999,27.4,1251,160,659,545,58,25,1251,4,3,75.0,1,25.0,632,3531,2013,16,7,0,18,3,650,4,Matches
6,Akor Adams,ng NGA,FW,Sevilla,25-102,2000,1.5,34,1,4,18,12,1,34,1,1,100.0,0,0.0,5,18,0,0,0,0,2,0,20,5,Matches
7,Adrián,es ESP,GK,Betis,38-128,1987,15.0,500,428,499,1,0,0,500,0,0,,0,,302,1383,898,0,0,0,0,0,230,0,Matches
8,Julen Agirrezabala,es ESP,GK,Athletic Club,24-136,2000,13.4,437,357,436,1,0,0,437,0,0,,0,,237,1238,682,0,0,0,1,0,211,0,Matches
9,Lucien Agoume,fr FRA,MF,Sevilla,23-091,2002,20.5,1291,52,327,790,190,13,1291,24,17,70.8,6,25.0,583,2719,1326,23,19,2,22,9,811,17,Matches
10,Álvaro Aguado,es ESP,MF,Espanyol,29-010,1996,4.8,294,7,67,159,72,4,294,7,4,57.1,2,28.6,169,1357,716,13,10,2,9,4,183,3,Matches
11,Lorenzo Aguado,es ESP,DF,Real Madrid,22-234,2002,0.1,3,0,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,1,1,0,Matches
12,Nayef Aguerd,ma MAR,DF,Real Sociedad,29-042,1996,19.6,1594,132,729,815,53,16,1594,10,5,50.0,2,20.0,1019,6113,3798,26,18,0,7,3,1138,1,Matches
13,Joseph Aidoo,gh GHA,DF,Valladolid,29-224,1995,6.0,406,55,249,160,1,1,406,1,1,100.0,0,0.0,252,1221,657,1,0,0,0,1,305,0,Matches
14,Joseph Aidoo,gh GHA,DF,Celta Vigo,29-224,1995,0.0,8,0,4,4,0,0,8,0,0,,0,,7,9,8,0,0,0,0,1,6,0,Matches
15,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,21-025,2004,6.5,293,8,44,89,163,29,293,43,19,44.2,17,39.5,200,1310,759,30,18,20,15,10,209,64,Matches
16,David Alaba,at AUT,DF,Real Madrid,32-321,1992,3.5,247,36,137,100,11,2,247,0,0,,0,,180,934,482,2,1,0,1,0,199,4,Matches
17,Raúl Albiol,es ESP,DF,Villarreal,39-249,1985,13.2,915,157,533,369,14,3,915,0,0,,0,,514,2346,1226,3,1,0,3,1,652,0,Matches
18,Omar Alderete,py PAR,DF,Getafe,28-136,1996,31.0,1498,173,637,763,112,34,1498,28,18,64.3,10,35.7,610,3931,2505,24,20,2,29,9,636,7,Matches
19,Carles Aleñá,es ESP,"MF,FW",Getafe,27-126,1998,5.0,163,5,26,84,56,10,163,4,3,75.0,1,25.0,88,427,169,3,2,1,3,6,98,10,Matches
20,Carles Aleñá,es ESP,"MF,FW",Alavés,27-126,1998,8.5,444,2,50,210,185,19,444,20,9,45.0,4,20.0,252,1094,537,15,18,2,15,12,316,36,Matches
21,Alfon,es ESP,"FW,MF",Celta Vigo,26-007,1999,13.5,498,2,39,127,338,104,498,57,22,38.6,28,49.1,341,2572,1549,79,37,41,26,19,388,151,Matches
22,Tadeo Allende,ar ARG,FW,Celta Vigo,26-080,1999,0.0,4,1,1,3,0,0,4,1,0,0.0,1,100.0,3,13,4,0,0,0,0,0,3,0,Matches
23,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,24-346,2000,20.2,1054,15,137,535,394,41,1054,53,21,39.6,22,41.5,620,3338,1671,41,44,10,34,37,752,73,Matches
24,Iker Almena,es ESP,"FW,DF",Girona,21-007,2004,0.5,39,2,4,6,30,1,39,3,2,66.7,1,33.3,32,233,152,6,3,1,1,0,31,10,Matches
25,Marcos Alonso,es ESP,DF,Celta Vigo,34-134,1990,27.5,2512,205,963,1313,270,28,2510,24,15,62.5,8,33.3,1627,9971,6186,57,45,2,18,8,1783,46,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
26,Adrià Altimira,es ESP,"DF,FW",Leganés,24-044,2001,14.1,631,51,200,298,143,4,631,23,8,34.8,10,43.5,275,1399,744,18,18,2,24,6,325,49,Matches
27,Sergi Altimira,es ESP,MF,Betis,23-259,2001,19.5,1340,43,276,828,245,16,1340,22,15,68.2,7,31.8,794,3344,1443,19,13,0,21,17,934,25,Matches
28,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,21-313,2003,17.3,1199,26,260,468,479,81,1199,72,32,44.4,38,52.8,722,3895,2258,73,38,40,33,12,808,169,Matches
29,Julián Álvarez,ar ARG,FW,Atlético Madrid,25-100,2000,25.2,1100,8,96,457,563,95,1096,54,29,53.7,23,42.6,679,3906,1828,69,46,24,52,37,794,146,Matches
30,Yeray Álvarez,es ESP,DF,Athletic Club,30-107,1995,17.8,1256,89,485,726,53,13,1256,8,5,62.5,3,37.5,695,4256,2740,18,8,0,10,6,796,0,Matches
31,Selim Amallah,ma MAR,MF,Valladolid,28-177,1996,14.8,590,6,98,322,181,17,589,64,30,46.9,26,40.6,295,1779,808,24,17,6,35,23,342,25,Matches
32,Amath,sn SEN,"FW,DF",Valladolid,28-299,1996,3.9,148,4,24,60,65,11,148,12,4,33.3,8,66.7,91,495,254,8,7,2,10,3,107,26,Matches
33,Marcos André,br BRA,FW,Valladolid,28-203,1996,13.2,372,13,46,208,128,32,372,41,17,41.5,18,43.9,195,1010,345,11,9,5,40,23,255,39,Matches
34,Leandro Antonetti,pr PUR,FW,Sevilla,22-118,2003,0.1,2,0,0,1,1,0,2,0,0,,0,,1,12,4,0,0,0,0,0,1,1,Matches
35,Antoniu,es ESP,"MF,FW",Espanyol,22-248,2002,9.8,327,10,62,138,139,19,327,46,26,56.5,13,28.3,187,1440,919,33,22,5,22,12,200,53,Matches
36,Antony,br BRA,FW,Betis,25-076,2000,12.2,812,8,82,255,491,54,812,51,21,41.2,24,47.1,546,3786,2308,79,65,25,42,17,622,134,Matches
37,Anuar,ma MAR,"MF,FW",Valladolid,30-116,1995,16.8,600,24,174,275,156,23,600,23,7,30.4,11,47.8,303,1920,752,22,13,5,25,13,369,56,Matches
38,Aritz Arambarri,es ESP,DF,Leganés,27-100,1998,2.0,86,12,59,26,1,1,86,0,0,,0,,44,253,137,0,0,0,1,0,48,0,Matches
39,Mauro Arambarri,uy URU,MF,Getafe,29-223,1995,26.9,1066,41,183,645,247,63,1063,30,15,50.0,11,36.7,495,2116,754,14,7,3,57,29,586,51,Matches
40,Jon Aramburu,ve VEN,DF,Real Sociedad,22-292,2002,25.7,1777,100,580,893,319,18,1777,36,7,19.4,26,72.2,796,2867,1370,23,17,0,32,11,920,48,Matches
41,Ronald Araújo,uy URU,DF,Barcelona,26-065,1999,7.1,651,26,176,446,32,9,651,1,0,0.0,1,100.0,413,2324,1397,6,4,0,2,1,478,3,Matches
42,Adu Ares,es ESP,FW,Athletic Club,23-211,2001,0.2,11,0,2,3,6,1,11,1,0,0.0,1,100.0,8,44,29,1,1,0,0,2,11,2,Matches
43,Jesús Areso,es ESP,DF,Osasuna,25-313,1999,30.2,1686,95,371,693,638,20,1686,59,21,35.6,31,52.5,799,4860,2483,90,56,9,60,18,947,188,Matches
44,David Argüelles,es ESP,MF,Getafe,23-130,2002,0.1,7,0,2,2,3,0,7,0,0,,0,,3,30,12,1,0,0,0,0,3,0,Matches
45,José Arnaiz,es ESP,"MF,FW",Osasuna,30-026,1995,1.4,96,3,16,38,44,7,96,5,1,20.0,2,40.0,45,234,114,4,2,1,4,4,47,13,Matches
46,Sergio Arribas,es ESP,DF,Betis,22-090,2003,1.0,71,5,24,43,4,0,71,0,0,,0,,33,128,75,0,0,0,0,0,35,4,Matches
47,Takuma Asano,jp JPN,"FW,MF",Mallorca,30-182,1994,11.7,356,8,53,141,169,53,356,25,6,24.0,16,64.0,207,1312,589,28,12,12,27,12,226,76,Matches
48,Raúl Asencio,es ESP,DF,Real Madrid,22-087,2003,15.9,1045,140,571,453,31,10,1045,9,6,66.7,0,0.0,663,3322,1772,5,5,1,5,5,742,4,Matches
49,Iago Aspas,es ESP,"FW,MF",Celta Vigo,37-283,1987,18.2,968,4,70,482,428,62,962,23,12,52.2,8,34.8,684,3293,1513,48,37,14,34,17,818,130,Matches
50,Yaser Asprilla,co COL,"FW,MF",Girona,21-173,2003,12.8,702,7,50,271,389,41,702,57,26,45.6,22,38.6,460,3159,1557,57,32,24,37,14,522,116,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
51,Ezequiel Ávila,ar ARG,FW,Betis,31-094,1994,7.5,323,7,34,131,163,34,323,11,5,45.5,5,45.5,173,767,334,12,7,4,23,7,216,48,Matches
52,Adam Aznou,ma MAR,DF,Valladolid,18-343,2006,8.5,429,34,160,209,72,10,429,33,17,51.5,11,33.3,192,1109,686,14,5,2,26,10,196,24,Matches
53,César Azpilicueta,es ESP,DF,Atlético Madrid,35-256,1989,8.2,653,36,194,351,110,8,653,2,1,50.0,1,50.0,364,1603,1099,11,15,1,6,0,450,13,Matches
54,Papa Ba,es ESP,MF,Girona,20-241,2004,0.5,20,1,5,10,5,1,20,2,1,50.0,1,50.0,9,69,24,1,0,1,1,1,14,2,Matches
55,Loïc Bade,fr FRA,DF,Sevilla,25-030,2000,28.7,2074,277,1264,772,54,20,2074,22,17,77.3,2,9.1,1141,5513,2749,11,10,1,17,7,1428,6,Matches
56,Alex Baena,es ESP,MF,Villarreal,23-295,2001,26.2,1455,20,191,581,717,79,1454,53,19,35.8,26,49.1,829,5077,2942,84,85,13,39,30,953,143,Matches
57,Juma Bah,sl SLE,DF,Valladolid,19-030,2006,9.6,523,85,321,194,10,8,523,4,3,75.0,1,25.0,265,1091,459,0,1,0,3,5,316,1,Matches
58,Eric Bailly,ci CIV,DF,Villarreal,31-029,1994,6.9,394,57,196,186,13,5,394,3,3,100.0,0,0.0,200,1048,519,1,4,0,6,1,251,0,Matches
59,Stefan Bajcetic,es ESP,"MF,DF",Las Palmas,20-201,2004,10.2,535,31,137,323,82,6,535,20,10,50.0,6,30.0,229,1120,511,7,9,0,19,5,279,9,Matches
60,Cédric Bakambu,cd COD,FW,Betis,34-030,1991,6.9,191,6,15,76,102,29,191,6,1,16.7,4,66.7,95,446,250,8,4,6,21,10,132,37,Matches
61,Alejandro Balde,es ESP,DF,Barcelona,21-205,2003,23.1,1548,35,277,751,545,40,1548,105,42,40.0,43,41.0,967,6142,3207,98,64,12,42,26,1108,231,Matches
62,Iván Balliu,al ALB,DF,Rayo Vallecano,33-130,1992,11.0,641,35,232,286,129,6,641,5,3,60.0,1,20.0,273,890,398,7,5,2,10,2,317,18,Matches
63,Jonathan Bamba,ci CIV,"FW,MF",Celta Vigo,29-046,1996,9.0,468,7,74,235,170,21,468,38,15,39.5,19,50.0,307,1885,936,31,15,8,20,13,351,71,Matches
64,Adrian Baquerin,es ESP,FW,Valladolid,18-068,2007,0.1,6,1,2,2,2,0,6,1,0,0.0,0,0.0,3,6,1,0,0,0,1,0,3,0,Matches
65,Valentín Barco,ar ARG,"DF,FW",Sevilla,20-292,2004,3.2,236,4,45,92,100,3,236,13,3,23.1,9,69.2,124,546,254,4,4,0,6,4,142,13,Matches
66,Borna Barišić,hr CRO,DF,Leganés,32-182,1992,0.1,4,0,0,2,2,0,4,0,0,,0,,2,6,1,0,0,0,0,0,3,0,Matches
67,Kike Barja,es ESP,"FW,MF",Osasuna,28-040,1997,2.9,151,1,22,40,90,14,151,13,5,38.5,7,53.8,88,735,334,19,9,3,16,4,97,35,Matches
68,Enzo Barrenechea,ar ARG,MF,Valencia,23-354,2001,21.3,1390,60,327,898,176,14,1390,30,11,36.7,15,50.0,667,2883,1357,19,16,0,19,17,920,15,Matches
69,Ander Barrenetxea,es ESP,"MF,FW",Real Sociedad,23-135,2001,12.8,683,10,96,246,357,57,683,64,24,37.5,37,57.8,428,2721,1128,39,25,17,44,23,476,134,Matches
70,Pablo Barrios,es ESP,MF,Atlético Madrid,21-330,2003,25.2,1743,50,404,991,358,27,1743,42,25,59.5,14,33.3,1087,5063,2279,28,32,5,47,23,1274,64,Matches
71,Thierno Barry,fr FRA,FW,Villarreal,22-202,2002,24.3,591,21,42,233,328,120,590,45,15,33.3,23,51.1,327,2111,1015,42,33,24,81,24,454,115,Matches
72,Marc Bartra,es ESP,DF,Betis,34-116,1991,20.5,1332,196,770,506,65,17,1332,12,6,50.0,6,50.0,719,3385,2235,7,13,0,9,5,809,1,Matches
73,Aboubacar Bassinga,ci CIV,MF,Las Palmas,19-302,2005,0.0,4,0,0,4,0,0,4,0,0,,0,,3,11,4,0,0,0,0,1,3,0,Matches
74,Augusto Batalla,ar ARG,GK,Rayo Vallecano,29-011,1996,29.0,1147,945,1132,15,0,0,1147,6,6,100.0,0,0.0,692,3236,1981,0,0,0,1,0,571,0,Matches
75,Rafael Bauza,es ESP,MF,Espanyol,20-101,2005,2.0,74,6,22,39,14,1,74,2,1,50.0,1,50.0,37,193,102,1,2,0,1,0,42,3,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
76,Sheraldo Becker,sr SUR,"FW,MF",Real Sociedad,30-091,1995,11.1,384,10,41,113,236,36,384,11,4,36.4,4,36.4,242,1882,1038,51,16,14,17,4,300,110,Matches
77,Donny van de Beek,nl NED,MF,Girona,28-023,1997,15.8,580,14,113,246,230,61,580,13,6,46.2,7,53.8,281,1412,588,17,15,2,13,15,387,85,Matches
78,Luken Beitia,es ESP,DF,Real Sociedad,20-315,2004,0.1,7,2,6,1,0,0,7,0,0,,0,,6,12,1,0,0,0,0,0,5,0,Matches
79,Ismael Bekhoucha,ma MAR,"MF,DF",Getafe,20-172,2004,0.3,17,2,4,6,7,0,17,2,1,50.0,1,50.0,7,39,25,1,0,0,2,0,9,0,Matches
80,Héctor Bellerín,es ESP,DF,Betis,30-053,1995,6.4,384,25,122,190,73,11,384,8,6,75.0,2,25.0,212,729,344,3,4,0,6,1,242,22,Matches
81,Jude Bellingham,eng ENG,MF,Real Madrid,21-316,2003,24.6,1674,27,215,821,654,98,1672,68,36,52.9,26,38.2,1076,5359,2521,68,54,12,46,37,1373,124,Matches
82,Fran Beltrán,es ESP,MF,Celta Vigo,26-097,1999,23.9,1544,46,334,988,227,11,1544,18,9,50.0,8,44.4,858,4104,1928,26,25,2,18,22,1091,22,Matches
83,Carlos Benavídez,uy URU,MF,Alavés,27-042,1998,4.4,224,13,59,131,38,1,224,5,3,60.0,1,20.0,120,540,249,4,2,1,3,0,131,5,Matches
84,Iker Benito,es ESP,"FW,MF",Osasuna,22-274,2002,0.4,18,1,4,11,4,0,18,1,0,0.0,1,100.0,8,60,25,2,1,0,1,0,13,4,Matches
85,Yuri Berchiche,es ESP,DF,Athletic Club,35-090,1990,18.7,1343,61,366,721,266,11,1343,14,6,42.9,6,42.9,635,3099,1827,39,25,2,11,2,766,59,Matches
86,Álex Berenguer,es ESP,"FW,MF",Athletic Club,29-311,1995,23.0,1121,14,85,418,639,75,1120,73,29,39.7,36,49.3,570,3896,1895,60,37,24,47,44,725,187,Matches
87,Marc Bernal,es ESP,MF,Barcelona,17-350,2007,2.7,184,4,47,116,21,1,184,3,2,66.7,1,33.3,97,461,150,0,2,0,2,2,137,2,Matches
