Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Max Aarons,eng ENG,"DF,MF",Valencia,25-127,2000,2,1,104,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,8,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
2,Rodrigo Abajas,es ESP,DF,Valencia,21-364,2003,1,1,65,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,2,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches
3,Abel,es ESP,DF,Osasuna,24-263,2000,32,20,2019,22.4,2,0,2,2,0,0,3,0,0.5,0.5,1.0,1.5,49,71,88,0.09,0.00,0.09,0.09,0.09,0.02,0.04,0.06,0.02,0.06,Matches
4,Nabil Aberdin,fr FRA,MF,Getafe,22-261,2002,7,4,263,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,2,6,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
5,Abdel Abqar,ma MAR,DF,Alavés,26-062,1999,29,29,2463,27.4,0,1,1,0,0,0,13,0,0.9,0.9,0.3,1.2,16,79,4,0.00,0.04,0.04,0.00,0.04,0.03,0.01,0.04,0.03,0.04,Matches
6,Akor Adams,ng NGA,FW,Sevilla,25-102,2000,4,1,134,1.5,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,0,5,5,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,0.29,0.29,Matches
7,Adrián,es ESP,GK,Betis,38-128,1987,15,15,1350,15.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
8,Julen Agirrezabala,es ESP,GK,Athletic Club,24-136,2000,14,14,1206,13.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
9,Lucien Agoume,fr FRA,MF,Sevilla,23-091,2002,32,21,1844,20.5,1,1,2,1,0,0,4,1,0.8,0.8,2.0,2.8,23,113,17,0.05,0.05,0.10,0.05,0.10,0.04,0.10,0.14,0.04,0.14,Matches
10,Álvaro Aguado,es ESP,MF,Espanyol,29-010,1996,15,4,431,4.8,0,1,1,0,0,0,3,0,0.4,0.4,0.6,1.0,13,36,3,0.00,0.21,0.21,0.00,0.21,0.09,0.12,0.22,0.09,0.22,Matches
11,Lorenzo Aguado,es ESP,DF,Real Madrid,22-234,2002,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
12,Nayef Aguerd,ma MAR,DF,Real Sociedad,29-042,1996,21,21,1760,19.6,0,0,0,0,0,0,5,0,2.4,2.4,0.1,2.5,26,75,1,0.00,0.00,0.00,0.00,0.00,0.12,0.01,0.13,0.12,0.13,Matches
13,Joseph Aidoo,gh GHA,DF,Valladolid,29-224,1995,7,5,538,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,12,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
14,Joseph Aidoo,gh GHA,DF,Celta Vigo,29-224,1995,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
15,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,21-025,2004,11,7,584,6.5,1,0,1,1,0,0,1,0,0.6,0.6,1.0,1.6,30,12,64,0.15,0.00,0.15,0.15,0.15,0.09,0.15,0.23,0.09,0.23,Matches
16,David Alaba,at AUT,DF,Real Madrid,32-321,1992,7,4,317,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,7,4,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
17,Raúl Albiol,es ESP,DF,Villarreal,39-249,1985,15,14,1188,13.2,0,0,0,0,0,0,5,0,0.1,0.1,0.0,0.1,3,34,0,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
18,Omar Alderete,py PAR,DF,Getafe,28-136,1996,32,32,2791,31.0,1,0,1,1,0,0,8,0,1.6,1.6,0.9,2.5,24,109,7,0.03,0.00,0.03,0.03,0.03,0.05,0.03,0.08,0.05,0.08,Matches
19,Carles Aleñá,es ESP,"MF,FW",Getafe,27-126,1998,10,5,452,5.0,0,0,0,0,0,0,1,0,0.9,0.9,0.1,1.0,3,12,10,0.00,0.00,0.00,0.00,0.00,0.18,0.02,0.20,0.18,0.20,Matches
20,Carles Aleñá,es ESP,"MF,FW",Alavés,27-126,1998,10,9,761,8.5,0,2,2,0,0,0,1,0,0.5,0.5,0.7,1.2,15,46,36,0.00,0.24,0.24,0.00,0.24,0.07,0.08,0.14,0.07,0.14,Matches
21,Alfon,es ESP,"FW,MF",Celta Vigo,26-007,1999,23,12,1211,13.5,4,2,6,4,0,0,1,1,3.9,3.9,2.3,6.2,79,20,151,0.30,0.15,0.45,0.30,0.45,0.29,0.17,0.46,0.29,0.46,Matches
22,Tadeo Allende,ar ARG,FW,Celta Vigo,26-080,1999,1,0,2,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
23,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,24-346,2000,32,22,1821,20.2,0,3,3,0,0,0,2,0,1.2,1.2,2.8,4.0,41,132,73,0.00,0.15,0.15,0.00,0.15,0.06,0.14,0.20,0.06,0.20,Matches
24,Iker Almena,es ESP,"FW,DF",Girona,21-007,2004,2,0,48,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,6,2,10,0.00,1.87,1.87,0.00,1.87,0.06,1.27,1.33,0.06,1.33,Matches
25,Marcos Alonso,es ESP,DF,Celta Vigo,34-134,1990,29,27,2474,27.5,2,0,2,0,2,2,9,2,2.9,1.3,1.0,2.3,57,201,46,0.07,0.00,0.07,0.00,0.00,0.10,0.04,0.14,0.05,0.08,Matches
