Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Keyliane Abdallah,fr FRA,FW,Marseille,19-036,2006,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,37-225,1987,11.0,17,11,15,2,0,10,16,62.5,6,26,18,8,13,30,57,1,Matches
3,Himad Abdelli,dz ALG,"MF,FW",Angers,25-175,1999,30.6,47,31,12,20,15,14,47,29.8,33,22,1,21,25,72,27,2,Matches
4,Mohamed Abdelmoneim,eg EGY,DF,Nice,26-099,1999,9.5,21,14,12,6,3,13,22,59.1,9,11,5,6,15,36,56,1,Matches
5,Ali Abdi,tn TUN,"DF,MF",Nice,31-142,1993,15.4,43,25,18,14,11,28,43,65.1,15,20,6,14,20,63,37,0,Matches
6,Matthis Abline,fr FRA,FW,Nantes,22-044,2003,29.8,11,5,2,4,5,3,9,33.3,6,15,1,14,3,14,34,1,Matches
7,Abner,br BRA,DF,Lyon,24-349,2000,12.1,29,20,12,10,7,21,32,65.6,11,15,2,13,5,34,41,0,Matches
8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,25-082,2000,20.8,21,12,6,8,7,4,21,19.0,17,16,1,15,6,27,8,0,Matches
9,Akor Adams,ng NGA,FW,Montpellier,25-102,2000,11.9,4,3,1,2,1,3,4,75.0,1,2,1,1,1,5,5,1,Matches
10,Martin Adeline,fr FRA,MF,Reims,21-160,2003,0.3,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,2,0,Matches
11,Adryelson,br BRA,DF,Lyon,27-049,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches
12,Emmanuel Agbadou,ci CIV,DF,Reims,27-328,1997,14.0,25,17,19,3,3,19,26,73.1,7,22,13,9,19,44,64,1,Matches
13,Jeremy Agbonifo,se SWE,"FW,MF",Lens,19-199,2005,3.3,7,6,6,0,1,3,7,42.9,4,2,1,1,1,8,0,1,Matches
14,Ruben Aguilar,fr FRA,"DF,MF",Lens,32-015,1993,11.6,34,18,17,12,5,24,38,63.2,14,23,3,20,13,47,22,0,Matches
15,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,23-043,2002,0.6,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,Matches
16,Jean-Eudes Aholou,ci CIV,MF,Angers,31-052,1994,21.8,56,36,26,20,10,22,48,45.8,26,34,14,20,33,89,32,0,Matches
17,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,19-320,2005,1.4,3,3,1,2,0,1,1,100.0,0,1,0,1,1,4,0,0,Matches
18,Ludovic Ajorque,fr FRA,FW,Brest,31-075,1994,26.8,25,18,3,11,11,9,31,29.0,22,20,5,15,6,31,25,0,Matches
19,Ümit Akdag,ro ROU,DF,Toulouse,21-217,2003,5.5,8,4,3,4,1,5,12,41.7,7,10,8,2,11,19,19,0,Matches
20,Sergio Akieme,es ESP,DF,Reims,27-146,1997,27.0,32,22,28,3,1,21,35,60.0,14,26,9,17,17,49,94,4,Matches
21,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,23-075,2002,26.6,51,31,12,24,15,19,41,46.3,22,21,0,21,15,66,13,0,Matches
22,Paul Akouokou,ci CIV,MF,Lyon,27-142,1997,0.2,1,0,0,1,0,0,0,,0,0,0,0,1,2,0,1,Matches
23,Clément Akpa,ci CIV,DF,Auxerre,23-168,2001,26.8,54,34,35,12,7,31,46,67.4,15,38,14,24,40,94,140,2,Matches
24,Chuba Akpom,eng ENG,FW,Lille,29-214,1995,6.9,8,5,0,4,4,2,6,33.3,4,9,0,9,0,8,3,0,Matches
25,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,21-112,2004,18.0,13,9,4,5,4,4,12,33.3,8,17,1,16,5,18,8,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,Jim Allevinah,ga GAB,FW,Angers,30-073,1995,19.4,19,11,6,9,4,5,28,17.9,23,10,0,10,12,31,17,0,Matches
27,Thiago Almada,ar ARG,"MF,FW",Lyon,24-015,2001,9.7,13,8,7,4,2,7,21,33.3,14,2,0,2,7,20,5,3,Matches
28,Jordan Amavi,fr FRA,DF,Brest,31-063,1994,8.8,24,17,10,11,3,15,21,71.4,6,10,2,8,7,31,18,0,Matches
29,Kelvin Amian,fr FRA,DF,Nantes,27-092,1998,23.1,54,30,39,14,1,29,35,82.9,6,17,10,7,11,65,82,0,Matches
30,Michael Amir Murillo,pa PAN,DF,Marseille,29-089,1996,26.1,49,31,30,13,6,32,46,69.6,14,19,7,12,18,67,68,4,Matches
31,Samuel Amo-Ameyaw,eng ENG,"DF,MF",Strasbourg,18-297,2006,3.4,5,3,3,2,0,2,8,25.0,6,3,0,3,2,7,2,0,Matches
