Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Keyliane Abdallah,fr FRA,FW,Marseille,19-036,2006,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,Matches
2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,37-225,1987,11.0,2,0,0,16,6,0,0,13,11,0,0,0,42,19,10,65.5,Matches
3,Himad Abdelli,dz ALG,"MF,FW",Angers,25-175,1999,30.6,4,0,0,47,31,3,40,25,31,0,0,0,186,13,20,39.4,Matches
4,Mohamed Abdelmoneim,eg EGY,DF,Nice,26-099,1999,9.5,2,0,0,9,10,0,2,15,14,0,0,0,50,31,19,62.0,Matches
5,Ali Abdi,tn TUN,"DF,MF",Nice,31-142,1993,15.4,2,0,0,27,14,5,51,20,25,0,0,0,71,22,14,61.1,Matches
6,Matthis Abline,fr FRA,FW,Nantes,22-044,2003,29.8,3,0,0,33,52,5,30,3,5,0,0,0,79,60,76,44.1,Matches
7,Abner,br BRA,DF,Lyon,24-349,2000,12.1,1,0,0,16,4,0,31,5,20,0,0,0,45,7,9,43.8,Matches
8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,25-082,2000,20.8,4,0,0,35,25,11,33,6,12,2,0,0,59,22,38,36.7,Matches
9,Akor Adams,ng NGA,FW,Montpellier,25-102,2000,11.9,2,0,0,17,8,16,5,1,3,2,0,0,24,28,27,50.9,Matches
10,Martin Adeline,fr FRA,MF,Reims,21-160,2003,0.3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0.0,Matches
11,Adryelson,br BRA,DF,Lyon,27-049,1998,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,100.0,Matches
12,Emmanuel Agbadou,ci CIV,DF,Reims,27-328,1997,14.0,3,0,0,13,6,0,1,19,17,0,0,0,85,18,11,62.1,Matches
13,Jeremy Agbonifo,se SWE,"FW,MF",Lens,19-199,2005,3.3,1,0,0,14,5,2,7,1,6,0,0,0,9,1,9,10.0,Matches
14,Ruben Aguilar,fr FRA,"DF,MF",Lens,32-015,1993,11.6,4,0,0,13,15,5,41,13,18,0,0,0,76,10,14,41.7,Matches
15,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,23-043,2002,0.6,0,0,0,1,0,0,1,2,0,0,0,0,7,0,1,0.0,Matches
16,Jean-Eudes Aholou,ci CIV,MF,Angers,31-052,1994,21.8,7,0,0,50,25,1,2,33,36,0,0,0,100,38,23,62.3,Matches
17,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,19-320,2005,1.4,0,0,0,4,1,0,1,1,3,0,0,0,7,1,4,20.0,Matches
18,Ludovic Ajorque,fr FRA,FW,Brest,31-075,1994,26.8,5,0,0,59,25,11,7,6,18,2,0,0,58,129,116,52.7,Matches
19,Ümit Akdag,ro ROU,DF,Toulouse,21-217,2003,5.5,2,0,0,8,1,0,3,11,4,0,0,0,23,18,7,72.0,Matches
20,Sergio Akieme,es ESP,DF,Reims,27-146,1997,27.0,5,0,0,25,20,1,90,17,22,0,0,0,109,18,25,41.9,Matches
21,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,23-075,2002,26.6,2,0,0,31,38,8,53,15,31,0,0,0,131,5,23,17.9,Matches
22,Paul Akouokou,ci CIV,MF,Lyon,27-142,1997,0.2,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,,Matches
23,Clément Akpa,ci CIV,DF,Auxerre,23-168,2001,26.8,7,0,0,15,33,0,25,40,34,0,1,0,112,36,30,54.5,Matches
24,Chuba Akpom,eng ENG,FW,Lille,29-214,1995,6.9,0,0,0,10,14,2,1,0,5,0,0,0,10,16,9,64.0,Matches
25,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,21-112,2004,18.0,2,0,0,12,41,9,51,5,9,0,0,0,69,13,27,32.5,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
26,Jim Allevinah,ga GAB,FW,Angers,30-073,1995,19.4,3,0,0,18,25,10,34,12,11,1,0,0,88,10,24,29.4,Matches
27,Thiago Almada,ar ARG,"MF,FW",Lyon,24-015,2001,9.7,3,0,0,10,7,1,41,7,8,0,0,0,51,1,2,33.3,Matches
28,Jordan Amavi,fr FRA,DF,Brest,31-063,1994,8.8,2,0,0,15,6,0,15,7,17,0,2,0,35,15,6,71.4,Matches
29,Kelvin Amian,fr FRA,DF,Nantes,27-092,1998,23.1,5,0,0,23,10,1,37,11,30,0,0,0,52,19,20,48.7,Matches
30,Michael Amir Murillo,pa PAN,DF,Marseille,29-089,1996,26.1,2,0,0,28,25,1,37,18,31,0,1,0,131,42,17,71.2,Matches
31,Samuel Amo-Ameyaw,eng ENG,"DF,MF",Strasbourg,18-297,2006,3.4,0,0,0,3,5,1,6,2,3,0,0,0,14,0,7,0.0,Matches
32,Mathis Amougou,fr FRA,MF,Saint-Étienne,19-113,2006,9.5,2,0,0,6,8,0,1,12,15,0,0,0,37,3,12,20.0,Matches
33,Benjamin André,fr FRA,MF,Lille,34-281,1990,28.9,12,0,0,48,49,3,15,48,57,1,0,0,187,85,77,52.5,Matches
34,Kyllian Antonio,fr FRA,"DF,MF",Lens,17-127,2008,1.5,0,0,0,2,3,0,2,3,2,0,0,0,5,2,2,50.0,Matches
