Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Keyliane Abdallah,fr FRA,FW,Marseille,19-036,2006,0.0,2,2,100.0,41,0,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,37-225,1987,11.0,438,505,86.7,7952,2404,147,160,91.9,263,287,91.6,23,48,47.9,0,0.1,0.3,-0.1,2,28,0,0,22,Matches
3,Himad Abdelli,dz ALG,"MF,FW",Angers,25-175,1999,30.6,1322,1609,82.2,20674,5730,687,780,88.1,508,585,86.8,77,142,54.2,1,3.1,3.5,-2.1,35,159,36,2,199,Matches
4,Mohamed Abdelmoneim,eg EGY,DF,Nice,26-099,1999,9.5,471,521,90.4,8299,2620,195,207,94.2,241,259,93.1,27,44,61.4,0,0.0,0.2,0.0,0,41,1,0,52,Matches
5,Ali Abdi,tn TUN,"DF,MF",Nice,31-142,1993,15.4,494,669,73.8,7766,2687,266,311,85.5,184,240,76.7,32,71,45.1,2,1.8,1.7,+0.2,19,19,21,7,42,Matches
6,Matthis Abline,fr FRA,FW,Nantes,22-044,2003,29.8,333,515,64.7,4830,919,177,246,72.0,114,154,74.0,17,35,48.6,2,3.8,3.4,-1.8,26,21,15,4,44,Matches
7,Abner,br BRA,DF,Lyon,24-349,2000,12.1,568,674,84.3,8355,3494,335,366,91.5,181,210,86.2,33,55,60.0,1,1.1,2.3,-0.1,11,45,11,2,66,Matches
8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,25-082,2000,20.8,217,344,63.1,2729,750,143,191,74.9,54,92,58.7,6,14,42.9,2,1.6,2.0,+0.4,12,16,10,4,22,Matches
9,Akor Adams,ng NGA,FW,Montpellier,25-102,2000,11.9,112,179,62.6,1540,198,72,101,71.3,32,49,65.3,3,10,30.0,1,1.0,0.1,0.0,12,8,0,0,6,Matches
10,Martin Adeline,fr FRA,MF,Reims,21-160,2003,0.3,8,10,80.0,138,11,3,3,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
