Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,Keyliane Abdallah,fr FRA,FW,Marseille,19-036,2006,0.0,4,0,3,1,0,0,4,0,0,,0,,1,10,9,1,0,0,1,0,3,0,Matches
2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,37-225,1987,11.0,641,127,414,215,14,7,641,7,3,42.9,4,57.1,322,1732,837,4,1,0,8,3,393,3,Matches
3,Himad Abdelli,dz ALG,"MF,FW",Angers,25-175,1999,30.6,1920,35,282,1116,566,47,1916,119,56,47.1,61,51.3,1129,7242,4119,102,83,17,53,51,1392,109,Matches
4,Mohamed Abdelmoneim,eg EGY,DF,Nice,26-099,1999,9.5,635,70,260,331,46,3,635,4,1,25.0,2,50.0,342,1427,822,6,4,0,4,3,386,5,Matches
5,Ali Abdi,tn TUN,"DF,MF",Nice,31-142,1993,15.4,875,51,226,344,312,48,875,28,12,42.9,15,53.6,386,1838,972,34,15,8,32,14,475,99,Matches
6,Matthis Abline,fr FRA,FW,Nantes,22-044,2003,29.8,847,32,73,367,423,136,846,83,33,39.8,47,56.6,566,3517,1678,70,40,39,90,61,663,161,Matches
7,Abner,br BRA,DF,Lyon,24-349,2000,12.1,790,40,206,361,225,22,790,12,6,50.0,6,50.0,426,1926,1239,31,16,5,14,8,513,55,Matches
8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,25-082,2000,20.8,598,5,56,194,353,111,596,49,15,30.6,32,65.3,366,1865,856,33,23,19,63,25,442,160,Matches
9,Akor Adams,ng NGA,FW,Montpellier,25-102,2000,11.9,251,5,19,118,117,49,251,14,7,50.0,6,42.9,126,661,279,11,5,7,16,14,174,45,Matches
10,Martin Adeline,fr FRA,MF,Reims,21-160,2003,0.3,14,2,8,4,2,1,14,0,0,,0,,6,35,9,1,0,1,0,0,9,1,Matches
11,Adryelson,br BRA,DF,Lyon,27-049,1998,0.0,5,1,2,3,0,0,5,0,0,,0,,1,0,0,0,0,0,0,0,1,0,Matches
12,Emmanuel Agbadou,ci CIV,DF,Reims,27-328,1997,14.0,1080,178,565,474,45,4,1080,12,9,75.0,3,25.0,621,3413,1974,10,9,0,9,6,701,0,Matches
13,Jeremy Agbonifo,se SWE,"FW,MF",Lens,19-199,2005,3.3,131,1,22,39,72,16,131,20,9,45.0,10,50.0,84,627,283,13,2,10,11,6,92,36,Matches
14,Ruben Aguilar,fr FRA,"DF,MF",Lens,32-015,1993,11.6,942,25,241,413,295,28,942,21,9,42.9,9,42.9,487,2274,1252,32,19,5,18,6,573,91,Matches
15,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,23-043,2002,0.6,31,1,12,16,3,0,31,1,0,0.0,1,100.0,16,131,55,2,1,0,1,1,17,1,Matches
16,Jean-Eudes Aholou,ci CIV,MF,Angers,31-052,1994,21.8,1032,45,259,615,167,34,1032,28,12,42.9,12,42.9,495,2116,987,15,8,2,32,15,615,16,Matches
17,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,19-320,2005,1.4,48,1,10,20,19,2,48,4,0,0.0,4,100.0,33,169,95,4,2,1,5,7,37,8,Matches
18,Ludovic Ajorque,fr FRA,FW,Brest,31-075,1994,26.8,886,31,80,432,379,120,885,17,8,47.1,9,52.9,394,1266,444,10,11,4,59,11,638,121,Matches
19,Ümit Akdag,ro ROU,DF,Toulouse,21-217,2003,5.5,395,29,145,228,26,1,395,1,1,100.0,0,0.0,214,943,452,4,3,0,1,0,237,9,Matches
20,Sergio Akieme,es ESP,DF,Reims,27-146,1997,27.0,1409,96,513,541,368,32,1409,31,13,41.9,17,54.8,699,4273,2342,54,35,5,27,18,804,93,Matches
21,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,23-075,2002,26.6,1562,22,150,640,794,156,1561,103,50,48.5,50,48.5,997,6546,3627,126,98,47,78,47,1145,226,Matches
22,Paul Akouokou,ci CIV,MF,Lyon,27-142,1997,0.2,18,2,5,13,0,0,18,0,0,,0,,14,38,10,0,0,0,1,0,14,0,Matches
23,Clément Akpa,ci CIV,DF,Auxerre,23-168,2001,26.8,1510,170,780,629,117,10,1510,23,8,34.8,11,47.8,880,4397,2314,27,20,1,9,4,917,24,Matches
24,Chuba Akpom,eng ENG,FW,Lille,29-214,1995,6.9,161,4,13,74,76,29,160,9,4,44.4,4,44.4,77,383,167,5,3,2,12,5,110,36,Matches
25,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,21-112,2004,18.0,720,9,75,308,356,74,720,70,20,28.6,41,58.6,460,3302,1943,81,39,30,68,26,545,133,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
26,Jim Allevinah,ga GAB,FW,Angers,30-073,1995,19.4,682,11,134,311,253,65,682,48,15,31.3,33,68.8,435,3164,1395,57,34,8,38,32,483,99,Matches
27,Thiago Almada,ar ARG,"MF,FW",Lyon,24-015,2001,9.7,753,17,127,350,281,28,753,12,8,66.7,4,33.3,518,2719,1406,38,34,10,14,8,590,45,Matches
28,Jordan Amavi,fr FRA,DF,Brest,31-063,1994,8.8,615,20,186,304,131,4,615,13,7,53.8,6,46.2,309,1558,936,22,18,1,9,5,361,21,Matches
29,Kelvin Amian,fr FRA,DF,Nantes,27-092,1998,23.1,1091,77,353,485,263,20,1091,21,13,61.9,8,38.1,506,2287,1134,31,26,1,20,12,588,77,Matches
30,Michael Amir Murillo,pa PAN,DF,Marseille,29-089,1996,26.1,2077,80,570,1186,331,33,2077,27,14,51.9,13,48.1,1132,4617,2371,43,33,8,27,10,1420,98,Matches
31,Samuel Amo-Ameyaw,eng ENG,"DF,MF",Strasbourg,18-297,2006,3.4,161,2,29,71,65,10,161,12,5,41.7,4,33.3,93,698,300,11,10,4,6,2,111,18,Matches
32,Mathis Amougou,fr FRA,MF,Saint-Étienne,19-113,2006,9.5,407,18,104,218,90,9,407,16,5,31.3,9,56.3,242,1169,585,8,11,2,22,8,273,17,Matches
33,Benjamin André,fr FRA,MF,Lille,34-281,1990,28.9,2191,71,386,1418,402,44,2191,22,9,40.9,11,50.0,1106,5030,2425,27,31,1,44,32,1505,67,Matches
34,Kyllian Antonio,fr FRA,"DF,MF",Lens,17-127,2008,1.5,114,2,47,54,13,1,114,2,1,50.0,0,0.0,82,322,132,1,0,1,2,2,85,0,Matches
35,Dennis Appiah,fr FRA,DF,Saint-Étienne,32-336,1992,22.6,1399,88,490,577,340,25,1399,42,20,47.6,21,50.0,584,2800,1520,46,30,5,32,18,768,98,Matches
36,Carlens Arcus,ht HAI,DF,Angers,28-317,1996,21.7,1188,80,407,535,257,10,1188,18,8,44.4,9,50.0,532,2529,1241,37,20,2,16,14,647,73,Matches
37,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,22-031,2003,18.5,1072,13,106,480,495,71,1072,46,26,56.5,19,41.3,670,3927,1876,48,43,10,41,13,821,136,Matches
38,Marco Asensio,es ESP,"FW,MF",Paris S-G,29-110,1996,6.9,377,2,20,180,182,40,377,8,4,50.0,3,37.5,260,1292,596,19,13,9,3,5,324,49,Matches
39,Lorenz Assignon,tg TOG,"DF,MF",Rennes,24-323,2000,25.2,1581,65,337,676,578,77,1581,72,27,37.5,43,59.7,775,4975,2873,93,69,24,56,34,975,199,Matches
40,Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,20-024,2005,1.1,75,2,12,39,25,7,75,6,3,50.0,3,50.0,47,307,152,4,2,2,7,3,48,14,Matches
41,Valentin Atangana Edoa,fr FRA,MF,Reims,19-259,2005,30.7,1411,112,449,752,228,53,1411,47,14,29.8,28,59.6,728,4718,2190,40,34,8,55,23,881,38,Matches
42,Florian Ayé,fr FRA,FW,Auxerre,28-112,1997,6.3,183,5,18,92,73,18,183,2,2,100.0,0,0.0,88,477,147,5,6,3,19,6,124,29,Matches
43,André Ayew,gh GHA,FW,Le Havre,35-145,1989,15.4,364,21,44,197,130,39,364,13,5,38.5,7,53.8,154,620,163,5,3,3,25,25,219,41,Matches
44,Neil El Aynaoui,fr FRA,MF,Lens,23-313,2001,16.7,1150,53,260,634,265,22,1147,19,4,21.1,10,52.6,564,2590,988,11,12,2,24,21,737,29,Matches
45,Shavy Babicka,ga GAB,"MF,FW",Toulouse,24-344,2000,13.1,423,4,46,144,248,52,423,37,11,29.7,21,56.8,270,1674,847,35,17,13,27,18,297,120,Matches
46,Juma Bah,sl SLE,DF,Lens,19-030,2006,6.6,442,77,249,182,12,6,442,3,3,100.0,0,0.0,243,935,331,3,2,0,3,3,251,1,Matches
47,Theo Bair,ca CAN,FW,Auxerre,25-257,1999,10.4,306,11,27,133,147,50,306,8,2,25.0,6,75.0,143,644,288,15,4,9,18,7,218,42,Matches
48,Mitchel Bakker,nl NED,"FW,DF",Lille,24-325,2000,12.7,758,12,101,328,334,32,758,21,11,52.4,9,42.9,439,2124,1132,43,20,7,18,11,547,120,Matches
49,Darryl Bakola,fr FRA,"DF,MF",Marseille,17-162,2007,0.2,15,0,4,6,5,0,15,1,0,0.0,1,100.0,9,49,23,0,1,0,0,1,14,0,Matches
50,Dilane Bakwa,fr FRA,"MF,DF",Strasbourg,22-258,2002,26.9,1383,21,168,567,670,77,1383,125,49,39.2,64,51.2,868,5789,2869,105,68,41,56,34,1019,243,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
51,Leonardo Balerdi,ar ARG,DF,Marseille,26-105,1999,24.3,2675,192,1035,1582,77,20,2675,30,21,70.0,9,30.0,1684,7534,4799,12,15,2,20,13,2116,5,Matches
52,Fodé Ballo-Touré,sn SEN,DF,Le Havre,28-128,1997,5.7,337,17,117,170,55,1,337,14,5,35.7,7,50.0,151,915,520,15,8,0,8,9,187,13,Matches
53,Folarin Balogun,us USA,FW,Monaco,23-312,2001,6.8,220,0,6,91,126,51,220,18,4,22.2,12,66.7,143,889,408,21,12,12,33,13,178,73,Matches
54,Abdoulaye Bamba,ci CIV,DF,Angers,35-016,1990,16.8,743,90,411,308,26,3,743,2,2,100.0,0,0.0,408,1532,641,1,2,0,3,4,468,3,Matches
55,Mohamed Bamba,ci CIV,MF,Reims,20-215,2004,0.1,22,1,8,12,2,0,22,0,0,,0,,14,38,18,0,1,0,0,0,17,0,Matches
56,Valentín Barco,ar ARG,"MF,DF",Strasbourg,20-292,2004,12.1,864,45,287,404,183,15,864,20,9,45.0,10,50.0,473,1833,982,18,25,2,21,10,585,53,Matches
57,Bradley Barcola,fr FRA,FW,Paris S-G,22-251,2002,23.6,1249,12,82,386,794,211,1249,133,33,24.8,91,68.4,837,5760,3460,134,63,93,63,20,996,362,Matches
58,Melvin Bard,fr FRA,"DF,MF",Nice,24-186,2000,20.5,1382,87,453,661,288,35,1382,48,22,45.8,25,52.1,738,4259,2444,50,34,9,28,12,822,93,Matches
59,Gabriel Bares,ch SUI,"MF,DF",Montpellier,24-255,2000,0.6,49,3,10,32,8,2,49,2,1,50.0,1,50.0,27,136,31,1,0,0,0,1,33,0,Matches
60,Dylan Batubinsika,cd COD,DF,Saint-Étienne,29-085,1996,21.9,1427,192,754,655,22,7,1427,8,5,62.5,2,25.0,761,4069,2273,11,2,0,6,2,938,1,Matches
61,Haris Belkebla,dz ALG,MF,Angers,31-103,1994,19.9,1064,67,332,630,115,6,1064,22,9,40.9,10,45.5,558,2613,1056,8,15,1,27,10,686,15,Matches
62,Yassin Belkhdim,fr FRA,MF,Angers,23-086,2002,16.9,702,46,236,347,130,18,702,15,2,13.3,12,80.0,343,1717,728,17,7,2,31,14,403,31,Matches
63,Eliesse Ben Seghir,ma MAR,"MF,FW",Monaco,20-084,2005,18.5,1185,2,87,504,611,61,1183,93,34,36.6,53,57.0,810,5357,2923,83,83,24,57,34,946,166,Matches
64,Ismaël Bennacer,dz ALG,MF,Marseille,27-161,1997,6.5,812,5,96,536,188,1,812,11,7,63.6,4,36.4,509,2318,1115,14,24,1,7,14,672,7,Matches
65,Saïd Benrahma,dz ALG,"FW,MF",Lyon,29-274,1995,8.2,447,2,44,169,240,34,447,29,8,27.6,20,69.0,286,1930,956,41,20,15,15,11,346,109,Matches
66,Nabil Bentaleb,dz ALG,MF,Lille,30-168,1994,3.7,277,15,83,149,46,2,277,0,0,,0,,130,520,252,2,3,1,2,4,203,5,Matches
67,Lucas Beraldo,br BRA,DF,Paris S-G,21-168,2003,22.2,2302,220,865,1365,78,15,2302,1,1,100.0,0,0.0,1388,5482,3287,9,15,0,10,2,1837,0,Matches
68,Maxime Bernauer,fr FRA,DF,Saint-Étienne,26-314,1998,7.5,494,66,245,231,20,3,494,2,1,50.0,1,50.0,294,1471,972,5,4,0,2,2,341,0,Matches
69,Dimitry Bertaud,cd COD,GK,Montpellier,26-339,1998,3.0,99,83,99,0,0,0,99,0,0,,0,,47,265,138,0,0,0,0,0,38,0,Matches
