Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Keyliane Abdallah,fr FRA,FW,Marseille,19-036,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,37-225,1987,11.0,0,2,1,50.0,0.18,0.09,0.00,0.00,10.8,0,0,0,0.2,0.2,0.12,-0.2,-0.2,Matches
3,Himad Abdelli,dz ALG,"MF,FW",Angers,25-175,1999,30.6,6,32,7,21.9,1.05,0.23,0.09,0.43,22.3,0,3,4,6.3,3.1,0.10,-0.3,-0.1,Matches
4,Mohamed Abdelmoneim,eg EGY,DF,Nice,26-099,1999,9.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
5,Ali Abdi,tn TUN,"DF,MF",Nice,31-142,1993,15.4,4,28,10,35.7,1.82,0.65,0.14,0.40,17.4,1,0,0,3.4,3.4,0.14,+0.6,+0.6,Matches
6,Matthis Abline,fr FRA,FW,Nantes,22-044,2003,29.8,8,71,25,35.2,2.39,0.84,0.10,0.28,15.1,0,1,1,7.9,7.1,0.10,+0.1,-0.1,Matches
7,Abner,br BRA,DF,Lyon,24-349,2000,12.1,1,7,3,42.9,0.58,0.25,0.14,0.33,17.7,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches
8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,25-082,2000,20.8,7,60,25,41.7,2.89,1.20,0.10,0.24,14.5,0,1,2,10.1,8.5,0.14,-3.1,-2.5,Matches
9,Akor Adams,ng NGA,FW,Montpellier,25-102,2000,11.9,3,26,12,46.2,2.18,1.00,0.12,0.25,13.3,0,0,0,4.3,4.3,0.16,-1.3,-1.3,Matches
10,Martin Adeline,fr FRA,MF,Reims,21-160,2003,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
11,Adryelson,br BRA,DF,Lyon,27-049,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
12,Emmanuel Agbadou,ci CIV,DF,Reims,27-328,1997,14.0,0,15,3,20.0,1.07,0.21,0.00,0.00,28.8,1,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
13,Jeremy Agbonifo,se SWE,"FW,MF",Lens,19-199,2005,3.3,1,6,4,66.7,1.80,1.20,0.17,0.25,14.1,0,0,0,0.7,0.7,0.11,+0.3,+0.3,Matches
14,Ruben Aguilar,fr FRA,"DF,MF",Lens,32-015,1993,11.6,1,10,3,30.0,0.86,0.26,0.10,0.33,15.9,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches
15,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,23-043,2002,0.6,0,1,0,0.0,1.55,0.00,0.00,,28.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
16,Jean-Eudes Aholou,ci CIV,MF,Angers,31-052,1994,21.8,2,27,7,25.9,1.24,0.32,0.07,0.29,18.2,0,0,0,1.8,1.8,0.07,+0.2,+0.2,Matches
17,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,19-320,2005,1.4,0,3,1,33.3,2.13,0.71,0.00,0.00,23.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
18,Ludovic Ajorque,fr FRA,FW,Brest,31-075,1994,26.8,13,50,24,48.0,1.86,0.90,0.26,0.54,11.7,0,0,1,10.1,9.3,0.19,+2.9,+3.7,Matches
19,Ümit Akdag,ro ROU,DF,Toulouse,21-217,2003,5.5,0,2,0,0.0,0.36,0.00,0.00,,24.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
20,Sergio Akieme,es ESP,DF,Reims,27-146,1997,27.0,1,25,6,24.0,0.92,0.22,0.04,0.17,20.4,1,0,0,1.4,1.4,0.06,-0.4,-0.4,Matches
21,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,23-075,2002,26.6,5,61,17,27.9,2.29,0.64,0.07,0.24,16.0,2,1,1,9.2,8.4,0.14,-4.2,-4.4,Matches
22,Paul Akouokou,ci CIV,MF,Lyon,27-142,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
23,Clément Akpa,ci CIV,DF,Auxerre,23-168,2001,26.8,0,6,1,16.7,0.22,0.04,0.00,0.00,15.1,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
24,Chuba Akpom,eng ENG,FW,Lille,29-214,1995,6.9,2,18,9,50.0,2.61,1.30,0.11,0.22,12.5,0,0,1,4.2,3.4,0.19,-2.2,-1.4,Matches
25,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,21-112,2004,18.0,3,36,15,41.7,2.00,0.83,0.08,0.20,17.7,0,0,0,4.0,4.0,0.11,-1.0,-1.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
26,Jim Allevinah,ga GAB,FW,Angers,30-073,1995,19.4,1,35,10,28.6,1.80,0.51,0.03,0.10,14.5,0,0,0,4.2,4.2,0.12,-3.2,-3.2,Matches
27,Thiago Almada,ar ARG,"MF,FW",Lyon,24-015,2001,9.7,1,22,5,22.7,2.27,0.51,0.05,0.20,20.3,1,0,0,2.0,2.0,0.09,-1.0,-1.0,Matches
28,Jordan Amavi,fr FRA,DF,Brest,31-063,1994,8.8,0,8,3,37.5,0.91,0.34,0.00,0.00,25.0,1,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
29,Kelvin Amian,fr FRA,DF,Nantes,27-092,1998,23.1,1,6,3,50.0,0.26,0.13,0.17,0.33,15.6,0,0,0,0.9,0.9,0.16,+0.1,+0.1,Matches
30,Michael Amir Murillo,pa PAN,DF,Marseille,29-089,1996,26.1,1,13,4,30.8,0.50,0.15,0.08,0.25,18.8,2,0,0,1.5,1.5,0.12,-0.5,-0.5,Matches
31,Samuel Amo-Ameyaw,eng ENG,"DF,MF",Strasbourg,18-297,2006,3.4,2,9,7,77.8,2.68,2.09,0.22,0.29,17.0,0,0,0,0.7,0.7,0.08,+1.3,+1.3,Matches
32,Mathis Amougou,fr FRA,MF,Saint-Étienne,19-113,2006,9.5,0,7,1,14.3,0.73,0.10,0.00,0.00,18.9,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
33,Benjamin André,fr FRA,MF,Lille,34-281,1990,28.9,0,16,4,25.0,0.55,0.14,0.00,0.00,15.6,0,0,0,1.4,1.4,0.09,-1.4,-1.4,Matches
34,Kyllian Antonio,fr FRA,"DF,MF",Lens,17-127,2008,1.5,0,1,0,0.0,0.65,0.00,0.00,,18.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
35,Dennis Appiah,fr FRA,DF,Saint-Étienne,32-336,1992,22.6,0,5,2,40.0,0.22,0.09,0.00,0.00,20.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
36,Carlens Arcus,ht HAI,DF,Angers,28-317,1996,21.7,0,3,0,0.0,0.14,0.00,0.00,,29.1,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
37,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,22-031,2003,18.5,5,34,12,35.3,1.84,0.65,0.15,0.42,16.8,2,0,0,3.8,3.8,0.11,+1.2,+1.2,Matches
38,Marco Asensio,es ESP,"FW,MF",Paris S-G,29-110,1996,6.9,2,26,14,53.8,3.79,2.04,0.08,0.14,14.5,2,0,0,5.6,5.6,0.22,-3.6,-3.6,Matches
39,Lorenz Assignon,tg TOG,"DF,MF",Rennes,24-323,2000,25.2,3,21,5,23.8,0.83,0.20,0.14,0.60,17.6,0,0,0,2.2,2.2,0.10,+0.8,+0.8,Matches
40,Dehmaine Assoumani,fr FRA,"MF,FW",Nantes,20-024,2005,1.1,0,3,2,66.7,2.84,1.89,0.00,0.00,26.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
