Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,Keyliane Abdallah,fr FRA,FW,Marseille,19-037,2006,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2,Yunis Abdelhamid,ma MAR,DF,Saint-Étienne,37-226,1987,15,11,988,11.0,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,4,22,3,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
3,Himad Abdelli,dz ALG,"MF,FW",Angers,25-176,1999,31,31,2752,30.6,6,1,7,3,3,4,4,0,6.3,3.1,3.1,6.2,102,199,109,0.20,0.03,0.23,0.10,0.13,0.21,0.10,0.31,0.10,0.20,Matches
4,Mohamed Abdelmoneim,eg EGY,DF,Nice,26-100,1999,12,10,855,9.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,6,52,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,Ali Abdi,tn TUN,"DF,MF",Nice,31-143,1993,24,17,1387,15.4,4,2,6,4,0,0,2,0,3.4,3.4,1.8,5.2,34,42,99,0.26,0.13,0.39,0.26,0.39,0.22,0.12,0.34,0.22,0.34,Matches
6,Matthis Abline,fr FRA,FW,Nantes,22-045,2003,33,32,2678,29.8,8,2,10,7,1,1,3,0,7.9,7.1,3.8,10.9,70,44,161,0.27,0.07,0.34,0.24,0.30,0.27,0.13,0.39,0.24,0.37,Matches
7,Abner,br BRA,DF,Lyon,24-350,2000,18,12,1089,12.1,1,1,2,1,0,0,1,0,0.6,0.6,1.1,1.7,31,66,55,0.08,0.08,0.17,0.08,0.17,0.05,0.09,0.14,0.05,0.14,Matches
8,Zakaria Aboukhlal,ma MAR,"MF,FW",Toulouse,25-083,2000,25,22,1869,20.8,7,2,9,6,1,2,4,0,10.1,8.5,1.6,10.1,33,22,160,0.34,0.10,0.43,0.29,0.39,0.49,0.08,0.56,0.41,0.49,Matches
9,Akor Adams,ng NGA,FW,Montpellier,25-103,2000,15,13,1075,11.9,3,1,4,3,0,0,2,0,4.3,4.3,1.0,5.3,11,6,45,0.25,0.08,0.33,0.25,0.33,0.36,0.08,0.44,0.36,0.44,Matches
