Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-127,2000,1.0,2,2,1,1,0,1,1,100.0,0,3,1,2,1,3,0,0,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,19-006,2006,1.9,2,1,2,0,0,2,2,100.0,0,1,0,1,1,3,2,0,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-086,1999,19.8,78,48,24,47,7,36,68,52.9,32,33,10,23,32,110,40,0,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-229,1997,13.7,14,10,10,4,0,8,12,66.7,4,9,7,2,10,24,62,0,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-130,2002,11.0,23,14,10,8,5,10,24,41.7,14,12,0,12,8,31,6,2,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-328,1997,13.7,27,18,18,9,0,11,17,64.7,6,19,13,6,11,38,82,0,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-225,2005,0.1,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-215,1996,30.4,54,41,39,14,1,35,63,55.6,28,32,12,20,31,85,103,3,Matches
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-339,2001,32.8,85,55,51,26,8,41,68,60.3,27,41,6,35,25,110,70,1,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,27-024,1998,15.6,25,17,14,10,1,14,26,53.8,12,17,4,13,12,37,49,0,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29-296,1995,20.4,17,11,10,4,3,9,15,60.0,6,11,8,3,7,24,61,3,Matches
12,Nathan Aké,nl NED,DF,Manchester City,30-082,1995,7.5,9,7,7,2,0,4,6,66.7,2,7,2,5,3,12,22,1,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-162,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
14,Carlos Alcaraz,ar ARG,"FW,MF",Everton,22-162,2002,7.4,11,5,5,3,3,3,9,33.3,6,7,1,6,4,15,10,0,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-216,1998,25.5,70,49,43,18,9,48,103,46.6,55,26,9,17,30,100,54,4,Matches
16,Alisson,br BRA,GK,Liverpool,32-221,1992,24.9,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,13,1,Matches
17,Miguel Almirón,py PAR,FW,Newcastle Utd,31-090,1994,1.7,3,2,2,0,1,2,3,66.7,1,2,0,2,0,3,0,0,Matches
18,Edson Álvarez,mx MEX,MF,West Ham,27-199,1997,18.1,44,23,24,12,8,15,33,45.5,18,21,8,13,16,60,39,1,Matches
19,Will Alves,eng ENG,FW,Leicester City,20-097,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
20,Harry Amass,eng ENG,DF,Manchester Utd,18-056,2007,2.8,6,2,5,1,0,2,6,33.3,4,6,1,5,2,8,10,0,Matches
21,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-297,2006,0.3,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
22,Mathis Amougou,fr FRA,MF,Chelsea,19-113,2006,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
23,Joachim Andersen,dk DEN,DF,Crystal Palace,28-345,1996,1.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,7,0,Matches
24,Joachim Andersen,dk DEN,DF,Fulham,28-345,1996,26.7,26,18,19,6,1,14,21,66.7,7,33,26,7,31,57,174,1,Matches
25,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-186,2002,27.4,84,52,50,27,7,43,100,43.0,57,44,9,35,30,114,67,4,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,André,br BRA,MF,Wolves,23-299,2001,26.0,88,53,40,40,8,35,61,57.4,26,42,8,34,35,123,30,1,Matches
27,Michail Antonio,jm JAM,FW,West Ham,35-044,1990,9.3,2,2,0,1,1,2,3,66.7,1,6,0,6,0,2,2,0,Matches
28,Antony,br BRA,"DF,MF",Manchester Utd,25-076,2000,1.6,6,3,4,2,0,2,5,40.0,3,2,0,2,2,8,0,0,Matches
29,Julian Araujo,mx MEX,DF,Bournemouth,23-271,2001,4.8,8,3,4,4,0,5,12,41.7,7,3,0,3,6,14,16,0,Matches
30,Cameron Archer,eng ENG,FW,Southampton,23-294,2001,15.5,11,7,6,3,2,2,9,22.2,7,5,1,4,2,13,10,0,Matches
31,Alphonse Areola,fr FRA,GK,West Ham,32-073,1993,23.1,2,2,2,0,0,2,3,66.7,1,0,0,0,0,2,15,2,Matches
32,Joe Aribo,ng NGA,"MF,DF",Southampton,28-294,1996,21.7,47,33,17,24,6,17,35,48.6,18,26,10,16,20,67,32,3,Matches
33,Adam Armstrong,eng ENG,"FW,MF",Southampton,28-090,1997,13.9,12,3,2,7,3,3,14,21.4,11,6,1,5,3,15,8,0,Matches
34,Harrison Armstrong,eng ENG,MF,Everton,18-112,2007,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
35,Kepa Arrizabalaga,es ESP,GK,Bournemouth,30-220,1994,29.0,1,0,1,0,0,0,2,0.0,2,1,0,1,0,1,15,3,Matches
36,Marco Asensio,es ESP,MF,Aston Villa,29-110,1996,6.8,7,5,0,7,0,3,9,33.3,6,4,0,4,2,9,3,0,Matches
37,Brandon Austin,eng ENG,GK,Tottenham,26-123,1999,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
38,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,27-272,1997,4.5,6,3,0,3,3,4,5,80.0,1,1,0,1,0,6,7,0,Matches
39,Yasin Ayari,se SWE,MF,Brighton,21-217,2003,20.5,56,31,15,30,11,23,53,43.4,30,23,6,17,20,76,25,0,Matches
40,Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,33-242,1991,0.2,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
41,Jordan Ayew,gh GHA,"FW,MF",Leicester City,33-242,1991,15.8,24,13,7,12,5,6,19,31.6,13,16,0,16,12,36,17,0,Matches
42,Benoît Badiashile,fr FRA,DF,Chelsea,24-046,2001,3.7,9,6,5,4,0,4,5,80.0,1,2,2,0,6,15,12,2,Matches
43,Leon Bailey,jm JAM,"FW,MF",Aston Villa,27-275,1997,12.6,6,4,1,3,2,2,10,20.0,8,6,0,6,3,9,12,0,Matches
44,Carlos Baleba,cm CMR,MF,Brighton,21-128,2004,27.6,73,42,25,33,15,46,76,60.5,30,44,10,34,43,116,42,1,Matches
45,Ross Barkley,eng ENG,MF,Aston Villa,31-157,1993,6.3,14,3,4,10,0,9,14,64.3,5,9,3,6,10,24,5,0,Matches
46,Harvey Barnes,eng ENG,FW,Newcastle Utd,27-153,1997,16.7,16,9,4,6,6,3,10,30.0,7,7,1,6,6,22,12,1,Matches
47,Calvin Bassey,ng NGA,DF,Fulham,25-131,1999,33.2,53,33,34,19,0,21,30,70.0,9,39,17,22,19,72,111,8,Matches
48,Altay Bayındır,tr TUR,GK,Manchester Utd,27-027,1998,2.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,Matches
49,Jan Bednarek,pl POL,DF,Southampton,29-029,1996,28.1,36,19,23,13,0,16,31,51.6,15,47,36,11,56,92,190,5,Matches
50,Armel Bella Kotchap,de GER,DF,Southampton,23-151,2001,3.7,7,5,5,2,0,3,6,50.0,3,2,2,0,5,12,21,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
51,Jean-Ricner Bellegarde,fr FRA,"MF,FW",Wolves,26-318,1998,17.6,37,22,17,17,3,13,19,68.4,6,19,3,16,10,47,18,1,Matches
52,Rodrigo Bentancur,uy URU,MF,Tottenham,27-320,1997,16.9,38,20,17,17,4,19,39,48.7,20,24,8,16,36,74,33,1,Matches
