Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-127,2000,1.0,0,0,0,0,2,0,2,1,2,0,0,0,7,0,0,,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,19-006,2006,1.9,1,0,0,0,1,0,0,1,1,0,0,0,7,1,6,14.3,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-086,1999,19.8,7,0,0,42,20,0,3,32,48,0,1,0,105,29,18,61.7,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-229,1997,13.7,3,0,0,8,6,1,0,10,10,0,0,0,34,36,26,58.1,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-130,2002,11.0,0,0,0,12,3,2,36,8,14,0,0,0,43,6,4,60.0,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-328,1997,13.7,2,0,0,5,4,1,2,11,18,0,0,0,71,24,17,58.5,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-225,2005,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-215,1996,30.4,3,0,0,21,34,2,47,31,41,0,1,0,173,13,18,41.9,Matches
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-339,2001,32.8,7,1,1,30,42,5,88,25,55,0,0,0,140,21,28,42.9,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,27-024,1998,15.6,5,0,0,12,6,1,14,12,17,0,0,0,42,27,22,55.1,Matches
11,Manuel Akanji,ch SUI,DF,Manchester City,29-296,1995,20.4,3,0,0,17,9,0,11,7,11,0,0,0,96,30,30,50.0,Matches
12,Nathan Aké,nl NED,DF,Manchester City,30-082,1995,7.5,0,0,0,2,0,0,1,3,7,0,0,0,24,13,10,56.5,Matches
13,Carlos Alcaraz,ar ARG,MF,Southampton,22-162,2002,0.1,0,0,0,1,0,0,1,1,0,0,0,0,2,1,0,100.0,Matches
14,Carlos Alcaraz,ar ARG,"FW,MF",Everton,22-162,2002,7.4,4,0,0,11,11,1,10,4,5,0,0,0,32,13,6,68.4,Matches
15,Trent Alexander-Arnold,eng ENG,DF,Liverpool,26-216,1998,25.5,5,0,0,11,8,1,145,30,49,0,0,0,129,3,13,18.8,Matches
16,Alisson,br BRA,GK,Liverpool,32-221,1992,24.9,0,0,0,0,2,0,0,0,0,0,0,0,42,6,0,100.0,Matches
17,Miguel Almirón,py PAR,FW,Newcastle Utd,31-090,1994,1.7,0,0,0,1,3,2,0,0,2,0,0,0,4,0,2,0.0,Matches
18,Edson Álvarez,mx MEX,MF,West Ham,27-199,1997,18.1,8,1,1,37,18,4,6,16,23,0,0,0,78,28,20,58.3,Matches
19,Will Alves,eng ENG,FW,Leicester City,20-097,2005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
20,Harry Amass,eng ENG,DF,Manchester Utd,18-056,2007,2.8,0,0,0,2,4,1,6,2,2,0,0,0,17,5,5,50.0,Matches
21,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18-297,2006,0.3,1,0,0,1,2,0,2,0,0,0,0,0,1,0,1,0.0,Matches
22,Mathis Amougou,fr FRA,MF,Chelsea,19-113,2006,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
23,Joachim Andersen,dk DEN,DF,Crystal Palace,28-345,1996,1.0,1,0,0,2,0,0,1,0,1,0,0,0,7,2,0,100.0,Matches
24,Joachim Andersen,dk DEN,DF,Fulham,28-345,1996,26.7,5,1,0,17,17,0,11,31,18,0,0,1,111,67,38,63.8,Matches
25,Elliot Anderson,eng ENG,MF,Nott'ham Forest,22-186,2002,27.4,7,0,0,43,55,4,78,30,52,0,0,0,197,47,23,67.1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
26,André,br BRA,MF,Wolves,23-299,2001,26.0,7,0,0,35,33,0,0,35,53,0,1,0,187,2,6,25.0,Matches
27,Michail Antonio,jm JAM,FW,West Ham,35-044,1990,9.3,1,0,0,12,7,4,25,0,2,0,0,0,22,17,22,43.6,Matches
28,Antony,br BRA,"DF,MF",Manchester Utd,25-076,2000,1.6,0,0,0,2,5,0,5,2,3,0,0,0,11,0,1,0.0,Matches
29,Julian Araujo,mx MEX,DF,Bournemouth,23-271,2001,4.8,1,0,0,5,1,0,7,6,3,0,0,0,28,2,7,22.2,Matches
30,Cameron Archer,eng ENG,FW,Southampton,23-294,2001,15.5,0,0,0,16,12,8,3,2,7,0,0,0,34,8,30,21.1,Matches
