Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,Max Aarons,eng ENG,DF,Bournemouth,25-127,2000,1.0,50,63,79.4,887,361,21,25,84.0,24,29,82.8,4,7,57.1,0,0.0,0.0,0.0,0,8,0,0,8,Matches
2,Joshua Acheampong,eng ENG,DF,Chelsea,19-006,2006,1.9,104,124,83.9,2025,705,29,32,90.6,63,68,92.6,11,20,55.0,0,0.0,0.0,0.0,0,6,0,0,8,Matches
3,Tyler Adams,us USA,MF,Bournemouth,26-086,1999,19.8,817,973,84.0,12915,3241,397,446,89.0,357,403,88.6,32,58,55.2,3,1.0,0.6,+2.0,17,63,2,1,69,Matches
4,Tosin Adarabioyo,eng ENG,DF,Chelsea,27-229,1997,13.7,988,1081,91.4,18105,6479,374,391,95.7,554,584,94.9,58,95,61.1,1,0.2,0.2,+0.8,1,53,1,0,37,Matches
5,Simon Adingra,ci CIV,"FW,MF",Brighton,23-130,2002,11.0,264,347,76.1,3813,744,166,191,86.9,77,104,74.0,15,27,55.6,2,2.3,2.4,-0.3,14,5,13,5,15,Matches
6,Emmanuel Agbadou,ci CIV,DF,Wolves,27-328,1997,13.7,740,865,85.5,14853,5211,248,268,92.5,390,420,92.9,96,158,60.8,0,0.2,0.3,-0.2,4,31,1,0,24,Matches
7,Asher Agbinone,eng ENG,MF,Crystal Palace,19-225,2005,0.1,2,3,66.7,32,0,1,1,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches
8,Ola Aina,ng NGA,DF,Nott'ham Forest,28-215,1996,30.4,893,1218,73.3,13813,5721,472,534,88.4,333,452,73.7,55,151,36.4,1,1.1,1.8,-0.1,15,78,20,9,97,Matches
9,Rayan Aït-Nouri,dz ALG,DF,Wolves,23-339,2001,32.8,1355,1612,84.1,18564,5505,837,896,93.4,409,470,87.0,44,110,40.0,7,5.0,3.6,+2.0,38,70,27,9,104,Matches
10,Kristoffer Ajer,no NOR,DF,Brentford,27-024,1998,15.6,489,626,78.1,7626,2762,254,293,86.7,192,241,79.7,26,53,49.1,0,1.2,0.5,-1.2,8,42,7,4,54,Matches
