Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,James Abankwah,ie IRL,"DF,MF",Udinese,21-116,2004,1.0,4,2,4,0,0,2,3,66.7,1,2,1,1,1,5,3,0,Matches
2,Saud Abdulhamid,sa KSA,DF,Roma,25-298,1999,2.3,3,2,2,0,1,1,1,100.0,0,2,0,2,2,5,0,0,Matches
3,Oliver Abildgaard,dk DEN,MF,Como,28-336,1996,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
4,Tammy Abraham,eng ENG,FW,Roma,27-222,1997,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
5,Tammy Abraham,eng ENG,FW,Milan,27-222,1997,13.1,17,11,2,10,5,6,8,75.0,2,13,0,13,2,19,16,0,Matches
6,Federico Accornero,it ITA,MF,Genoa,21-096,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
7,Francesco Acerbi,it ITA,DF,Inter,37-091,1988,17.5,23,19,16,7,0,11,17,64.7,6,21,15,6,26,49,75,0,Matches
8,Che Adams,sct SCO,FW,Torino,28-303,1996,26.5,10,5,1,4,5,0,4,0.0,4,10,5,5,2,12,17,0,Matches
9,Yacine Adli,fr FRA,MF,Fiorentina,24-287,2000,13.4,32,19,11,16,5,17,38,44.7,21,12,1,11,6,38,19,0,Matches
10,Vasilije Adžić,me MNE,"MF,FW",Juventus,19-000,2006,0.5,2,2,0,1,1,0,1,0.0,1,0,0,0,0,2,0,0,Matches
11,Michel Aebischer,ch SUI,MF,Bologna,28-126,1997,7.5,17,12,7,7,3,9,13,69.2,4,4,1,3,6,23,6,0,Matches
12,Honest Ahanor,it ITA,"DF,MF",Genoa,17-078,2008,2.1,5,3,1,2,2,5,8,62.5,3,2,0,2,0,5,3,0,Matches
13,Junior Ajayi,ci CIV,FW,Hellas Verona,20-213,2004,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
14,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,32-213,1992,7.7,22,13,11,10,1,7,15,46.7,8,17,4,13,11,33,10,1,Matches
15,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,23-087,2002,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
16,Faride Alidou,de GER,"FW,MF",Hellas Verona,23-298,2001,0.8,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,1,Matches
17,Dele Alli,eng ENG,MF,Como,29-031,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
18,Pontus Almqvist,se SWE,"FW,MF",Parma,25-306,1999,12.4,17,13,7,7,3,8,17,47.1,9,13,0,13,19,36,8,0,Matches
19,Giorgio Altare,it ITA,DF,Venezia,26-276,1998,8.4,13,12,8,3,2,8,15,53.3,7,21,11,10,17,30,49,0,Matches
20,Sofyan Amrabat,ma MAR,MF,Fiorentina,28-264,1996,2.0,3,2,1,2,0,2,2,100.0,0,1,1,0,0,3,2,0,Matches
21,Angeliño,es ESP,DF,Roma,28-128,1997,32.3,45,23,19,24,2,17,34,50.0,17,32,9,23,26,71,92,0,Matches
22,Lorenzo Anghelè,it ITA,FW,Juventus,20-075,2005,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
23,Faustino Anjorin,eng ENG,MF,Empoli,23-170,2001,11.8,27,12,7,14,6,9,18,50.0,9,17,3,14,11,38,20,0,Matches
24,Marko Arnautović,at AUT,FW,Inter,36-023,1989,5.9,7,6,1,3,3,3,5,60.0,2,3,0,3,1,8,1,0,Matches
25,Kristjan Asllani,al ALB,MF,Inter,23-064,2002,9.0,13,2,8,4,1,7,19,36.8,12,8,1,7,7,20,12,1,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
26,Arthur Atta,fr FRA,"MF,FW",Udinese,22-118,2003,12.2,19,11,9,9,1,10,15,66.7,5,6,4,2,7,26,15,1,Matches
27,Emil Audero,id IDN,GK,Como,28-114,1997,8.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,4,1,Matches
28,Tommaso Augello,it ITA,DF,Cagliari,30-255,1994,28.3,48,27,27,17,4,29,41,70.7,12,22,7,15,16,64,101,1,Matches
29,Carlos Augusto,br BRA,DF,Inter,26-125,1999,17.0,27,12,12,10,5,12,18,66.7,6,20,9,11,8,35,44,0,Matches
30,Yann Aurel Bisseck,de GER,DF,Inter,24-164,2000,16.1,15,11,9,4,2,10,13,76.9,3,16,8,8,15,30,59,1,Matches
31,Paulo Azzi,br BRA,DF,Cagliari,30-301,1994,4.7,11,9,3,6,2,5,9,55.6,4,5,2,3,5,16,11,0,Matches
32,Oussama El Azzouzi,ma MAR,MF,Bologna,23-348,2001,0.2,0,0,0,0,0,0,0,,0,0,0,0,2,2,0,0,Matches
33,Jacopo Bacci,it ITA,MF,Empoli,19-327,2005,0.3,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,1,0,Matches
34,Milan Badelj,hr CRO,MF,Genoa,36-076,1989,15.6,28,15,14,9,5,15,35,42.9,20,18,6,12,18,46,42,0,Matches
35,Mitchel Bakker,nl NED,MF,Atalanta,24-326,2000,0.2,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
36,Tommaso Baldanzi,it ITA,"MF,FW",Roma,22-050,2003,9.1,12,4,5,4,3,4,12,33.3,8,4,0,4,6,18,8,0,Matches
37,Keita Baldé,sn SEN,FW,Monza,30-065,1995,5.2,1,1,0,1,0,1,2,50.0,1,3,0,3,1,2,0,0,Matches
38,Botond Balogh,hu HUN,DF,Parma,22-340,2002,20.8,28,11,18,10,0,16,22,72.7,6,32,24,8,24,52,130,2,Matches
39,Mario Balotelli,it ITA,"FW,MF",Genoa,34-273,1990,0.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
40,Lameck Banda,zm ZAM,"FW,MF",Lecce,24-103,2001,6.4,8,5,4,2,2,3,11,27.3,8,6,0,6,2,10,6,1,Matches
41,Daniel Bandeira,pt POR,MF,Hellas Verona,25-031,2000,4.5,4,0,1,3,0,3,6,50.0,3,2,1,1,6,10,8,0,Matches
42,Mattia Bani,it ITA,DF,Genoa,31-153,1993,14.8,18,9,11,5,2,7,11,63.6,4,9,5,4,19,37,77,2,Matches
43,Antonín Barák,cz CZE,MF,Fiorentina,30-160,1994,0.6,2,0,0,2,0,0,2,0.0,2,1,1,0,0,2,0,0,Matches
44,Federico Barba,it ITA,DF,Como,31-253,1993,4.8,2,2,1,1,0,1,4,25.0,3,2,2,0,4,6,15,0,Matches
45,Nicolò Barella,it ITA,MF,Inter,28-094,1997,26.0,47,30,17,19,11,25,56,44.6,31,24,3,21,10,57,14,1,Matches
46,Davide Bartesaghi,it ITA,"DF,MF",Milan,19-134,2005,0.6,2,1,1,1,0,2,2,100.0,0,1,1,0,2,4,1,0,Matches
47,Federico Baschirotto,it ITA,DF,Lecce,28-234,1996,35.0,36,24,29,5,2,21,27,77.8,6,44,32,12,23,59,208,2,Matches
48,Daniele Baselli,it ITA,MF,Como,33-061,1992,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches
