Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,James Abankwah,ie IRL,"DF,MF",Udinese,21-115,2004,1.0,1,0,0,4,3,0,0,1,2,0,0,0,7,2,2,50.0,Matches
2,Saud Abdulhamid,sa KSA,DF,Roma,25-297,1999,2.3,0,0,0,2,5,0,7,2,2,0,1,0,3,0,1,0.0,Matches
3,Oliver Abildgaard,dk DEN,MF,Como,28-335,1996,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,Matches
4,Tammy Abraham,eng ENG,FW,Roma,27-221,1997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
5,Tammy Abraham,eng ENG,FW,Milan,27-221,1997,13.1,1,0,0,23,12,7,3,2,11,1,0,0,12,36,33,52.2,Matches
6,Federico Accornero,it ITA,MF,Genoa,21-095,2004,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.0,Matches
7,Francesco Acerbi,it ITA,DF,Inter,37-090,1988,17.5,0,0,0,11,17,1,10,26,19,0,0,0,53,58,28,67.4,Matches
8,Che Adams,sct SCO,FW,Torino,28-302,1996,26.5,2,0,0,27,35,19,10,2,5,0,0,0,46,32,54,37.2,Matches
9,Yacine Adli,fr FRA,MF,Fiorentina,24-286,2000,13.4,3,1,1,9,19,0,61,6,19,0,0,0,74,5,16,23.8,Matches
10,Vasilije Adžić,me MNE,"MF,FW",Juventus,18-364,2006,0.5,0,0,0,1,1,0,0,0,2,0,0,0,3,2,3,40.0,Matches
11,Michel Aebischer,ch SUI,MF,Bologna,28-125,1997,7.5,1,0,0,14,15,0,13,6,12,0,0,0,30,5,9,35.7,Matches
12,Honest Ahanor,it ITA,"DF,MF",Genoa,17-077,2008,2.1,0,0,0,0,7,0,3,0,3,0,0,0,6,3,2,60.0,Matches
13,Junior Ajayi,ci CIV,FW,Hellas Verona,20-212,2004,0.1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,Matches
14,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,32-212,1992,7.7,3,0,0,20,10,0,6,11,13,0,0,0,40,9,12,42.9,Matches
15,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,23-086,2002,0.5,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0.0,Matches
16,Faride Alidou,de GER,"FW,MF",Hellas Verona,23-297,2001,0.8,0,0,0,1,0,0,3,1,0,0,0,0,0,1,0,100.0,Matches
17,Dele Alli,eng ENG,MF,Como,29-030,1996,0.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
18,Pontus Almqvist,se SWE,"FW,MF",Parma,25-305,1999,12.4,5,0,0,15,15,2,11,19,13,1,0,0,40,9,15,37.5,Matches
19,Giorgio Altare,it ITA,DF,Venezia,26-275,1998,8.4,2,0,0,10,2,0,7,17,12,0,0,1,27,19,17,52.8,Matches
20,Sofyan Amrabat,ma MAR,MF,Fiorentina,28-263,1996,2.0,0,0,0,4,1,0,3,0,2,0,0,0,7,1,1,50.0,Matches
21,Angeliño,es ESP,DF,Roma,28-127,1997,32.3,1,0,0,29,29,4,101,26,23,1,0,0,94,29,27,51.8,Matches
22,Lorenzo Anghelè,it ITA,FW,Juventus,20-074,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,Matches
23,Faustino Anjorin,eng ENG,MF,Empoli,23-169,2001,11.8,3,0,0,22,18,0,17,11,12,0,1,0,61,9,12,42.9,Matches
24,Marko Arnautović,at AUT,FW,Inter,36-022,1989,5.9,1,0,0,4,6,6,5,1,6,0,0,0,10,11,7,61.1,Matches
25,Kristjan Asllani,al ALB,MF,Inter,23-063,2002,9.0,4,0,0,8,15,0,38,7,2,0,0,0,45,3,3,50.0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
26,Arthur Atta,fr FRA,"MF,FW",Udinese,22-117,2003,12.2,4,0,0,14,13,1,20,7,11,0,0,0,48,12,19,38.7,Matches
27,Emil Audero,id IDN,GK,Como,28-113,1997,8.0,0,0,0,0,1,0,0,0,0,0,0,0,12,2,1,66.7,Matches
