Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 22_level_0,Unnamed: 23_level_0,Expected,Expected,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
1,James Abankwah,ie IRL,"DF,MF",Udinese,21-115,2004,1.0,36,46,78.3,614,206,13,15,86.7,18,21,85.7,3,8,37.5,0,0.0,0.0,0.0,0,2,0,0,4,Matches
2,Saud Abdulhamid,sa KSA,DF,Roma,25-297,1999,2.3,118,136,86.8,1766,368,65,69,94.2,49,55,89.1,2,6,33.3,1,0.2,0.2,+0.8,2,4,4,2,9,Matches
3,Oliver Abildgaard,dk DEN,MF,Como,28-335,1996,0.1,1,1,100.0,21,7,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
4,Tammy Abraham,eng ENG,FW,Roma,27-221,1997,0.0,1,3,33.3,44,32,0,1,0.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
5,Tammy Abraham,eng ENG,FW,Milan,27-221,1997,13.1,152,221,68.8,1956,534,94,124,75.8,46,74,62.2,3,6,50.0,4,2.2,1.3,+1.8,14,13,10,0,26,Matches
6,Federico Accornero,it ITA,MF,Genoa,21-095,2004,0.1,4,6,66.7,55,19,2,3,66.7,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
7,Francesco Acerbi,it ITA,DF,Inter,37-090,1988,17.5,1102,1191,92.5,20629,5733,366,394,92.9,645,671,96.1,80,100,80.0,1,0.6,1.0,+0.4,9,51,7,5,56,Matches
8,Che Adams,sct SCO,FW,Torino,28-302,1996,26.5,368,497,74.0,5844,1094,193,249,77.5,120,149,80.5,34,49,69.4,3,1.9,2.8,+1.1,25,30,6,0,35,Matches
9,Yacine Adli,fr FRA,MF,Fiorentina,24-286,2000,13.4,697,863,80.8,13686,4476,289,321,90.0,283,321,88.2,114,188,60.6,5,2.3,2.1,+2.7,22,81,13,4,100,Matches
10,Vasilije Adžić,me MNE,"MF,FW",Juventus,18-364,2006,0.5,15,20,75.0,255,52,8,10,80.0,5,6,83.3,2,2,100.0,0,0.0,0.0,0.0,0,1,1,0,1,Matches
11,Michel Aebischer,ch SUI,MF,Bologna,28-125,1997,7.5,343,390,87.9,6189,1368,153,165,92.7,144,159,90.6,40,50,80.0,0,0.3,0.6,-0.3,7,40,4,2,29,Matches
12,Honest Ahanor,it ITA,"DF,MF",Genoa,17-077,2008,2.1,34,49,69.4,610,157,15,20,75.0,16,20,80.0,3,6,50.0,0,0.1,0.1,-0.1,1,0,0,0,2,Matches
13,Junior Ajayi,ci CIV,FW,Hellas Verona,20-212,2004,0.1,4,4,100.0,74,18,1,1,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
14,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,32-212,1992,7.7,199,253,78.7,3008,1005,106,118,89.8,78,97,80.4,9,14,64.3,0,0.1,0.1,-0.1,2,12,2,1,16,Matches
15,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,23-086,2002,0.5,6,7,85.7,53,28,3,4,75.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,1,0,1,Matches
16,Faride Alidou,de GER,"FW,MF",Hellas Verona,23-297,2001,0.8,16,20,80.0,198,42,7,7,100.0,4,6,66.7,1,2,50.0,0,0.0,0.0,0.0,1,0,1,1,1,Matches
17,Dele Alli,eng ENG,MF,Como,29-030,1996,0.1,3,3,100.0,21,4,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
18,Pontus Almqvist,se SWE,"FW,MF",Parma,25-305,1999,12.4,215,297,72.4,2758,504,150,184,81.5,46,65,70.8,7,12,58.3,1,1.3,0.9,-0.3,10,4,4,1,12,Matches
19,Giorgio Altare,it ITA,DF,Venezia,26-275,1998,8.4,283,389,72.8,5113,1998,105,129,81.4,158,198,79.8,16,49,32.7,0,0.1,0.2,-0.1,1,15,2,1,20,Matches
20,Sofyan Amrabat,ma MAR,MF,Fiorentina,28-263,1996,2.0,112,133,84.2,2140,528,46,50,92.0,50,59,84.7,13,20,65.0,0,0.1,0.1,-0.1,2,10,0,0,14,Matches
21,Angeliño,es ESP,DF,Roma,28-127,1997,32.3,1431,1826,78.4,26164,9255,604,682,88.6,658,793,83.0,151,293,51.5,1,3.3,3.7,-2.3,45,125,55,21,157,Matches
