Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Unnamed: 30_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
1,James Abankwah,ie IRL,"DF,MF",Udinese,21-115,2004,1.0,65,8,37,22,7,2,65,0,0,,0,,29,219,165,3,1,1,1,3,34,1,Matches
2,Saud Abdulhamid,sa KSA,DF,Roma,25-297,1999,2.3,157,0,27,75,56,7,157,8,3,37.5,2,25.0,90,399,175,6,2,2,5,1,108,26,Matches
3,Oliver Abildgaard,dk DEN,MF,Como,28-335,1996,0.1,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
4,Tammy Abraham,eng ENG,FW,Roma,27-221,1997,0.0,4,0,0,2,2,1,4,0,0,,0,,3,2,1,0,0,0,1,0,4,2,Matches
5,Tammy Abraham,eng ENG,FW,Milan,27-221,1997,13.1,367,20,46,172,149,57,365,14,4,28.6,10,71.4,158,572,205,8,6,4,22,13,241,69,Matches
6,Federico Accornero,it ITA,MF,Genoa,21-095,2004,0.1,8,1,2,3,3,0,8,0,0,,0,,5,25,18,0,1,0,2,0,5,0,Matches
7,Francesco Acerbi,it ITA,DF,Inter,37-090,1988,17.5,1368,125,595,682,96,17,1368,3,3,100.0,0,0.0,846,3778,1883,17,15,1,7,2,1008,20,Matches
8,Che Adams,sct SCO,FW,Torino,28-302,1996,26.5,716,15,49,355,321,86,715,37,11,29.7,22,59.5,456,1920,656,21,18,7,58,32,559,135,Matches
9,Yacine Adli,fr FRA,MF,Fiorentina,24-286,2000,13.4,993,30,175,590,238,11,993,32,12,37.5,16,50.0,602,3526,1625,24,28,3,19,7,667,29,Matches
10,Vasilije Adžić,me MNE,"MF,FW",Juventus,18-364,2006,0.5,23,0,5,8,10,1,23,1,0,0.0,1,100.0,13,40,10,0,1,0,0,1,19,2,Matches
11,Michel Aebischer,ch SUI,MF,Bologna,28-125,1997,7.5,451,11,64,285,107,9,451,5,3,60.0,1,20.0,271,1108,443,7,10,2,5,6,324,15,Matches
12,Honest Ahanor,it ITA,"DF,MF",Genoa,17-077,2008,2.1,67,4,13,23,31,6,67,1,0,0.0,0,0.0,35,210,78,1,0,0,5,1,36,5,Matches
13,Junior Ajayi,ci CIV,FW,Hellas Verona,20-212,2004,0.1,5,0,0,3,2,0,5,0,0,,0,,5,25,7,0,0,0,1,0,5,0,Matches
14,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,32-212,1992,7.7,375,21,125,177,82,4,375,31,11,35.5,16,51.6,228,1395,627,13,13,1,18,2,209,13,Matches
15,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,23-086,2002,0.5,9,1,2,3,4,0,9,1,1,100.0,0,0.0,6,54,8,0,1,0,0,2,10,3,Matches
16,Faride Alidou,de GER,"FW,MF",Hellas Verona,23-297,2001,0.8,31,2,5,11,17,0,31,4,2,50.0,2,50.0,17,98,44,1,3,0,1,1,19,2,Matches
17,Dele Alli,eng ENG,MF,Como,29-030,1996,0.1,4,0,0,2,2,0,4,0,0,,0,,3,7,4,0,0,0,1,0,4,1,Matches
18,Pontus Almqvist,se SWE,"FW,MF",Parma,25-305,1999,12.4,462,11,67,154,253,53,462,50,20,40.0,28,56.0,298,2165,1059,42,18,22,31,13,320,85,Matches
19,Giorgio Altare,it ITA,DF,Venezia,26-275,1998,8.4,505,60,235,216,57,6,505,6,5,83.3,1,16.7,235,990,404,4,10,0,5,5,252,5,Matches
20,Sofyan Amrabat,ma MAR,MF,Fiorentina,28-263,1996,2.0,140,6,24,103,14,0,140,0,0,,0,,84,388,196,2,0,0,1,2,103,1,Matches
21,Angeliño,es ESP,DF,Roma,28-127,1997,32.3,2106,93,600,987,535,39,2106,25,10,40.0,11,44.0,1102,5221,2809,54,45,9,26,9,1366,145,Matches
22,Lorenzo Anghelè,it ITA,FW,Juventus,20-074,2005,0.1,5,0,0,5,1,0,5,1,1,100.0,0,0.0,3,19,3,0,1,0,0,0,4,0,Matches
23,Faustino Anjorin,eng ENG,MF,Empoli,23-169,2001,11.8,594,24,124,337,146,17,594,38,15,39.5,20,52.6,308,1718,959,27,17,6,22,10,363,33,Matches
24,Marko Arnautović,at AUT,FW,Inter,36-022,1989,5.9,193,1,6,63,124,38,193,3,2,66.7,1,33.3,98,364,119,4,3,2,12,3,150,61,Matches
25,Kristjan Asllani,al ALB,MF,Inter,23-063,2002,9.0,906,22,208,554,146,8,905,5,0,0.0,4,80.0,592,2681,1092,7,13,1,5,1,724,18,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
26,Arthur Atta,fr FRA,"MF,FW",Udinese,22-117,2003,12.2,711,19,111,369,246,33,711,54,24,44.4,26,48.1,451,2869,1088,29,24,9,32,18,513,68,Matches
27,Emil Audero,id IDN,GK,Como,28-113,1997,8.0,269,219,268,1,0,0,269,0,0,,0,,177,821,476,0,0,0,0,0,162,0,Matches
28,Tommaso Augello,it ITA,DF,Cagliari,30-254,1994,28.3,1814,98,623,668,544,10,1814,42,24,57.1,17,40.5,840,4057,2180,57,34,2,25,17,971,109,Matches
29,Carlos Augusto,br BRA,DF,Inter,26-124,1999,17.0,1281,75,419,611,261,38,1281,12,7,58.3,5,41.7,751,3821,1766,28,25,3,18,11,891,77,Matches
30,Yann Aurel Bisseck,de GER,DF,Inter,24-163,2000,16.1,1297,102,429,705,166,40,1297,13,2,15.4,9,69.2,886,5142,2459,30,25,2,13,5,1008,41,Matches
31,Paulo Azzi,br BRA,DF,Cagliari,30-300,1994,4.7,242,19,66,97,84,8,242,13,8,61.5,4,30.8,119,804,450,15,10,3,3,4,135,26,Matches
32,Oussama El Azzouzi,ma MAR,MF,Bologna,23-347,2001,0.2,20,0,3,15,2,0,20,0,0,,0,,14,81,20,0,0,0,0,0,18,0,Matches
33,Jacopo Bacci,it ITA,MF,Empoli,19-326,2005,0.3,14,1,4,10,0,0,14,0,0,,0,,5,25,1,0,0,0,0,0,5,0,Matches
34,Milan Badelj,hr CRO,MF,Genoa,36-075,1989,15.6,973,56,255,599,125,13,973,19,9,47.4,8,42.1,470,1830,747,7,7,1,19,11,632,14,Matches
35,Mitchel Bakker,nl NED,MF,Atalanta,24-325,2000,0.2,10,0,2,5,3,0,10,0,0,,0,,6,23,15,0,0,0,0,0,7,1,Matches
36,Tommaso Baldanzi,it ITA,"MF,FW",Roma,22-049,2003,9.1,462,5,42,186,244,38,462,39,17,43.6,21,53.8,284,1932,976,38,30,10,16,9,327,57,Matches
37,Keita Baldé,sn SEN,FW,Monza,30-064,1995,5.2,192,0,8,107,79,10,192,13,4,30.8,6,46.2,149,928,478,14,12,2,15,11,171,23,Matches
38,Botond Balogh,hu HUN,DF,Parma,22-339,2002,20.8,1155,240,701,436,22,7,1155,0,0,,0,,608,2684,1396,7,3,0,9,1,691,1,Matches
39,Mario Balotelli,it ITA,"FW,MF",Genoa,34-272,1990,0.7,23,1,4,7,12,1,23,0,0,,0,,10,46,23,0,1,0,1,0,16,5,Matches
40,Lameck Banda,zm ZAM,"FW,MF",Lecce,24-102,2001,6.4,236,5,37,90,115,20,236,27,9,33.3,14,51.9,158,1544,830,26,10,17,16,8,159,41,Matches
41,Daniel Bandeira,pt POR,MF,Hellas Verona,25-030,2000,4.5,266,12,75,171,24,0,266,1,1,100.0,0,0.0,148,750,352,1,2,0,4,6,167,4,Matches
42,Mattia Bani,it ITA,DF,Genoa,31-152,1993,14.8,924,160,602,308,19,6,924,4,2,50.0,0,0.0,489,2094,942,6,1,0,3,3,626,3,Matches
43,Antonín Barák,cz CZE,MF,Fiorentina,30-159,1994,0.6,25,1,2,11,12,3,25,1,0,0.0,1,100.0,20,117,35,2,1,0,1,0,20,5,Matches
44,Federico Barba,it ITA,DF,Como,31-252,1993,4.8,320,33,155,144,21,5,320,0,0,,0,,201,999,567,5,2,0,1,1,215,5,Matches
45,Nicolò Barella,it ITA,MF,Inter,28-093,1997,26.0,1913,40,296,1041,597,40,1913,54,22,40.7,25,46.3,1295,6490,2939,62,46,8,27,40,1493,124,Matches
46,Davide Bartesaghi,it ITA,"DF,MF",Milan,19-133,2005,0.6,39,2,10,11,19,1,39,2,0,0.0,2,100.0,21,88,45,2,1,0,0,0,22,11,Matches
47,Federico Baschirotto,it ITA,DF,Lecce,28-233,1996,35.0,1898,327,1149,689,68,33,1898,5,4,80.0,0,0.0,884,4528,2430,13,9,0,13,1,1087,5,Matches
48,Daniele Baselli,it ITA,MF,Como,33-060,1992,0.2,31,1,6,23,2,0,31,0,0,,0,,22,134,45,2,0,0,1,0,24,0,Matches
49,Alessandro Bastoni,it ITA,DF,Inter,26-028,1999,24.8,2273,168,742,1110,432,27,2273,16,7,43.8,5,31.3,1524,7771,4689,58,68,5,24,5,1690,77,Matches
50,Reda Belahyane,ma MAR,MF,Hellas Verona,20-344,2004,18.4,884,49,251,526,126,8,884,52,33,63.5,17,32.7,551,3272,1498,22,17,5,34,21,591,13,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches
51,Reda Belahyane,ma MAR,MF,Lazio,20-344,2004,2.2,118,11,45,66,10,0,118,6,3,50.0,2,33.3,76,378,215,4,1,0,6,2,82,1,Matches
52,Raoul Bellanova,it ITA,DF,Torino,24-359,2000,1.0,51,5,19,19,13,1,51,1,0,0.0,1,100.0,34,228,127,4,3,0,1,0,33,5,Matches
