Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,Unnamed: 25_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,James Abankwah,ie IRL,"DF,MF",Udinese,21-115,2004,1.0,0,1,0,0.0,1.02,0.00,0.00,,15.0,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
2,Saud Abdulhamid,sa KSA,DF,Roma,25-297,1999,2.3,0,1,0,0.0,0.44,0.00,0.00,,24.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
3,Oliver Abildgaard,dk DEN,MF,Como,28-335,1996,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
4,Tammy Abraham,eng ENG,FW,Roma,27-221,1997,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
5,Tammy Abraham,eng ENG,FW,Milan,27-221,1997,13.1,3,26,11,42.3,1.98,0.84,0.08,0.18,13.4,0,1,2,7.1,5.4,0.21,-4.1,-3.4,Matches
6,Federico Accornero,it ITA,MF,Genoa,21-095,2004,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
7,Francesco Acerbi,it ITA,DF,Inter,37-090,1988,17.5,0,4,1,25.0,0.23,0.06,0.00,0.00,11.2,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
8,Che Adams,sct SCO,FW,Torino,28-302,1996,26.5,9,55,22,40.0,2.08,0.83,0.16,0.41,16.3,0,0,1,8.2,7.4,0.13,+0.8,+1.6,Matches
9,Yacine Adli,fr FRA,MF,Fiorentina,24-286,2000,13.4,4,14,5,35.7,1.04,0.37,0.29,0.80,21.3,2,0,0,1.0,1.0,0.07,+3.0,+3.0,Matches
10,Vasilije Adžić,me MNE,"MF,FW",Juventus,18-364,2006,0.5,0,1,1,100.0,2.20,2.20,0.00,0.00,29.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
11,Michel Aebischer,ch SUI,MF,Bologna,28-125,1997,7.5,0,9,4,44.4,1.19,0.53,0.00,0.00,21.7,1,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
