Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 36_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
1,James Abankwah,ie IRL,"DF,MF",Udinese,21-115,2004,6,0,88,1.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,4,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
2,Saud Abdulhamid,sa KSA,DF,Roma,25-297,1999,4,2,205,2.3,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,6,9,26,0.00,0.44,0.44,0.00,0.44,0.01,0.08,0.09,0.01,0.09,Matches
3,Oliver Abildgaard,dk DEN,MF,Como,28-335,1996,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
4,Tammy Abraham,eng ENG,FW,Roma,27-221,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,Tammy Abraham,eng ENG,FW,Milan,27-221,1997,28,12,1183,13.1,3,4,7,2,1,2,1,0,7.1,5.4,2.2,7.6,8,26,69,0.23,0.30,0.53,0.15,0.46,0.54,0.16,0.70,0.41,0.58,Matches
6,Federico Accornero,it ITA,MF,Genoa,21-095,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
7,Francesco Acerbi,it ITA,DF,Inter,37-090,1988,20,19,1577,17.5,0,1,1,0,0,0,0,0,0.3,0.3,0.6,1.0,17,56,20,0.00,0.06,0.06,0.00,0.06,0.02,0.04,0.05,0.02,0.05,Matches
8,Che Adams,sct SCO,FW,Torino,28-302,1996,33,27,2382,26.5,9,3,12,9,0,1,2,0,8.2,7.4,1.9,9.3,21,35,135,0.34,0.11,0.45,0.34,0.45,0.31,0.07,0.38,0.28,0.35,Matches
9,Yacine Adli,fr FRA,MF,Fiorentina,24-286,2000,25,15,1206,13.4,4,5,9,4,0,0,3,1,1.0,1.0,2.3,3.3,24,100,29,0.30,0.37,0.67,0.30,0.67,0.08,0.17,0.25,0.08,0.25,Matches
10,Vasilije Adžić,me MNE,"MF,FW",Juventus,18-364,2006,5,0,41,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
11,Michel Aebischer,ch SUI,MF,Bologna,28-125,1997,13,8,679,7.5,0,0,0,0,0,0,1,0,0.4,0.4,0.3,0.7,7,29,15,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.09,0.05,0.09,Matches
12,Honest Ahanor,it ITA,"DF,MF",Genoa,17-077,2008,5,2,193,2.1,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,1,2,5,0.00,0.00,0.00,0.00,0.00,0.17,0.04,0.22,0.17,0.22,Matches
13,Junior Ajayi,ci CIV,FW,Hellas Verona,20-212,2004,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
14,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,32-212,1992,11,9,696,7.7,0,0,0,0,0,0,3,0,0.1,0.1,0.1,0.2,13,16,13,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.01,0.03,Matches
15,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,23-086,2002,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
16,Faride Alidou,de GER,"FW,MF",Hellas Verona,23-297,2001,3,0,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,2,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
17,Dele Alli,eng ENG,MF,Como,29-030,1996,1,0,9,0.1,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
18,Pontus Almqvist,se SWE,"FW,MF",Parma,25-305,1999,29,10,1112,12.4,1,1,2,1,0,0,5,0,2.1,2.1,1.3,3.5,42,12,85,0.08,0.08,0.16,0.08,0.16,0.17,0.11,0.28,0.17,0.28,Matches
19,Giorgio Altare,it ITA,DF,Venezia,26-275,1998,12,8,753,8.4,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,4,20,5,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
20,Sofyan Amrabat,ma MAR,MF,Fiorentina,28-263,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,14,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches
21,Angeliño,es ESP,DF,Roma,28-127,1997,35,33,2907,32.3,2,1,3,2,0,0,1,0,1.2,1.2,3.3,4.5,54,157,145,0.06,0.03,0.09,0.06,0.09,0.04,0.10,0.14,0.04,0.14,Matches
22,Lorenzo Anghelè,it ITA,FW,Juventus,20-074,2005,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
23,Faustino Anjorin,eng ENG,MF,Empoli,23-169,2001,20,14,1062,11.8,2,3,5,2,0,0,3,0,0.9,0.9,1.7,2.5,27,53,33,0.17,0.25,0.42,0.17,0.42,0.07,0.14,0.21,0.07,0.21,Matches
24,Marko Arnautović,at AUT,FW,Inter,36-022,1989,16,5,530,5.9,4,2,6,4,0,0,1,0,3.3,3.3,1.2,4.4,4,15,61,0.68,0.34,1.02,0.68,1.02,0.55,0.20,0.75,0.55,0.75,Matches
25,Kristjan Asllani,al ALB,MF,Inter,23-063,2002,20,8,808,9.0,1,2,3,0,1,1,4,0,1.6,0.9,1.8,2.7,7,51,18,0.11,0.22,0.33,0.00,0.22,0.18,0.21,0.39,0.10,0.30,Matches
